study_accession	verdict	confidence	body_site_signal	evidence	reasoning	host_species	n_samples	library_source	library_strategy	paper_title	tier
PRJNA1140353	GUT_WGS	medium	inferred	Paper title: 'Gut Microbiome Diversity in European Honeybees'; Biome label: 'bee metagenome'; library_source: 'METAGENOMIC'; library_strategy: 'WGS'	The paper title explicitly states 'Gut Microbiome' and the study uses shotgun metagenomics (WGS, METAGENOMIC library source), but the body site is not stated in structured fields—it is inferred from the paper title and the common practice of studying bee gut microbiomes in such research.	Apis mellifera bacteriome	16	METAGENOMIC	WGS	Gut Microbiome Diversity in European Honeybees (Apis mellifera L.) from La Union, Northern Luzon, Philippines.	CONFIRMED_GUT
PRJNA1187318	GUT_WGS	high	explicit	Isolation source: 'Cecal content'; Biome label: 'mouse gut metagenome'; library_source: 'METAGENOMIC'; library_strategy: 'WGS'	Cecal content is explicitly stated as the isolation source (a gut compartment), the biome label explicitly identifies it as gut metagenome, and the library strategy (WGS) and source (METAGENOMIC) confirm this is shotgun metagenomic sequencing of a mouse gut microbiome.	Mus musculus	40	METAGENOMIC	WGS	The beneficial effects of a probiotic mix on bone and lean mass are dependent on the diet in female mice.	CONFIRMED_GUT
PRJEB79769	GUT_WGS	medium	inferred	Paper title: 'Discovery of BilV reveals a multienzymatic basis for bilirubin reduction across vertebrate gut microbiomes.' Host organism: Felis catus (domestic cat). Library_source: METAGENOMIC. Library_strategy: WGS.	The paper title explicitly mentions 'gut microbiomes' and bilirubin reduction (a gut-relevant metabolic process), the host is a vertebrate animal (cat), and the method is shotgun metagenomic (WGS), but body site is not stated in metadata fields—it is inferred from the paper title and biological context.	Felis catus	96	METAGENOMIC	WGS	Discovery of BilV reveals a multienzymatic basis for bilirubin reduction across vertebrate gut microbiomes.	CONFIRMED_GUT
PRJNA816829	GUT_WGS	high	explicit	ENA study title: 'TFRD rat feces; model rat feces; sham rat feces'; Biome label: 'rat gut metagenome'; Sample titles: 'TFRD rat feces; model rat feces; sham rat feces'; library_source: 'METAGENOMIC'; library_strategy: 'WGS'	Multiple explicit references to feces and gut metagenome combined with WGS metagenomic sequencing methodology confirm this is a shotgun metagenomic study of rat gut microbiota.	rat gut metagenome	9	METAGENOMIC	WGS	Integrated metagenomic and metabolomic analyses of the effects of total flavonoids of Rhizoma Drynariae on reducing ovariectomized-induced osteoporosis by regulating gut microbiota and related metabolites.	CONFIRMED_GUT
PRJNA1044797	GUT_WGS	high	explicit	Isolation source(s): 'Bumble bee gut'; library_source: 'METAGENOMIC'; library_strategy: 'WGS'	The isolation source explicitly states 'Bumble bee gut', the library source is metagenomic (community DNA), and the library strategy is WGS (shotgun), meeting all criteria for a shotgun metagenomic study of an animal gut microbiome.	Bombus impatiens	39	METAGENOMIC	WGS	Bumble bee gut microbial community structure differs between species and commercial suppliers, but metabolic potential remains largely consistent.	CONFIRMED_GUT
PRJNA1033630	GUT_WGS	high	explicit	Isolation source: 'gut microbiome'; Library strategy: 'WGS'; Library source: 'METAGENOMIC'; Paper title explicitly mentions 'Gut microbiome metagenomic sequences'	Multiple explicit statements confirm this is shotgun metagenomic sequencing (WGS + METAGENOMIC library source) of the gut microbiome of Apis mellifera, with body site unambiguously declared in isolation source and paper title.	Apis mellifera	225	METAGENOMIC	WGS	Gut microbiome metagenomic sequences of honey bees (Apis mellifera) exposed to crops.	CONFIRMED_GUT
PRJNA1124990	GUT_WGS	high	explicit	Isolation source: 'gut microbiome'; library_source: 'METAGENOMIC'; library_strategy: 'WGS'; Paper title explicitly mentions 'Gut microbiome metagenomic sequences'	The isolation source explicitly states 'gut microbiome', the sequencing method is WGS (shotgun) metagenomics of community DNA, and the paper title confirms this is a gut microbiome study of Apis mellifera.	Apis mellifera	60	METAGENOMIC	WGS	Gut microbiome metagenomic sequences of honey bees (Apis mellifera) exposed to crops.	CONFIRMED_GUT
PRJNA999720	GUT_WGS	high	explicit	Isolation source: 'gut microbiome'; Paper title: 'Gut microbiome metagenomic sequences'; library_strategy: 'WGS'; library_source: 'METAGENOMIC'	Isolation source explicitly states 'gut microbiome', library_strategy is WGS (shotgun), library_source is METAGENOMIC (community DNA), and host is Apis mellifera (animal), meeting all criteria for GUT_WGS classification.	Apis mellifera	120	METAGENOMIC	WGS	Gut microbiome metagenomic sequences of honey bees (Apis mellifera) exposed to crops.	CONFIRMED_GUT
PRJNA1029993	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON	The library_strategy is explicitly AMPLICON, which indicates 16S/amplicon sequencing rather than shotgun metagenomics (WGS/METAGENOMIC), disqualifying this as a shotgun metagenomic study regardless of the gut body site.	Mus musculus	18	OTHER	AMPLICON	Effects of traditional Chinese medicine Zuo-Gui-Wan on gut microbiota in an osteoporotic mouse model.	EXCLUDED
PRJNA916472	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON	The library_strategy is explicitly AMPLICON (16S rRNA gene amplicon sequencing), not WGS/METAGENOMIC shotgun sequencing, disqualifying this as a shotgun metagenomic study despite the gut body site being clearly stated.		28	METAGENOMIC	AMPLICON	Interactions between gut microbes and host promote degradation of various fiber components in Meishan pigs.	EXCLUDED
PRJNA917555	NOT_METAGENOMIC	high	explicit	library_source: TRANSCRIPTOMIC; library_strategy: RNA-Seq	This is an RNA-Seq transcriptomic study, not shotgun metagenomic sequencing of community DNA, despite the gut metagenome labels in metadata.		27	TRANSCRIPTOMIC	RNA-Seq	Interactions between gut microbes and host promote degradation of various fiber components in Meishan pigs.	EXCLUDED
PRJNA1130047	GUT_WGS	high	explicit	Paper title explicitly states 'gut microbiome'; library_source='METAGENOMIC'; library_strategy='WGS'; host organism is Mus musculus (mouse)	The paper title explicitly mentions 'gut microbiome', the library source and strategy confirm shotgun metagenomic sequencing, and the host is a mouse, satisfying all criteria for a gut WGS metagenomic study.	Mus musculus	8	METAGENOMIC	WGS	Faecalibacterium prausnitzii regulates carbohydrate metabolic functions of the gut microbiome in C57BL/6 mice.	CONFIRMED_GUT
PRJNA1104669	NOT_METAGENOMIC	high	none	library_strategy: RNA-Seq	Library strategy is RNA-Seq (transcriptomic), not WGS/METAGENOMIC shotgun sequencing, so this is not a shotgun metagenomic study regardless of body site.	Drosophila melanogaster	101	METAGENOMIC	RNA-Seq	Microbiome transplants may not improve health and longevity in Drosophila melanogaster.	EXCLUDED
PRJEB43192	GUT_WGS	high	explicit	Host body site explicitly lists: 'Caecum content; Caecum mucosa; Distal gut content; Ileum content; Ileum mucosa'. Biome labels include 'chicken gut metagenome; fish gut metagenome'. Library_strategy: WGS. Library_source: GENOMIC (metagenomic community DNA). Host organisms: Gallus gallus (chicken) and Salmo salar (salmon).	Study explicitly reports gut/intestinal sites (caecum, ileum, distal gut) from animal hosts with shotgun WGS metagenomic sequencing of community DNA.	Gallus gallus	999	GENOMIC	WGS	HoloFood Data Portal: holo-omic datasets for analysing host-microbiota interactions in animal production.	CONFIRMED_GUT
PRJNA1119635	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON	The study uses AMPLICON sequencing (16S/marker gene approach), not shotgun/WGS metagenomic sequencing, despite the biome label and paper topic mentioning gut microbiota.	missing	32	METAGENOMIC	AMPLICON	Impact of Edible Insect Polysaccharides on Mouse Gut Microbiota: A Study on White-Spotted Flower Chafer Larva (Protaetia brevitarsis seulensis) and Silkworm Pupa (Bombyx mori).	EXCLUDED
PRJNA1108898	GUT_WGS	medium	inferred	Paper title: 'How Host Phylogeny, Diet, and Habitat Affect Gut Microbial Diversity in Wild Snakes.' Library_source: METAGENOMIC. Library_strategy: WGS. Host organism: Trimeresurus stejnegeri (a snake). Host body site field is empty.	The paper title explicitly states 'gut microbial diversity' and the study uses shotgun metagenomic sequencing (WGS + METAGENOMIC) of a snake host, but the body_site field is not populated; the gut designation is inferred from the paper title rather than explicit metadata, warranting medium confidence and 'inferred' signal.	Trimeresurus stejnegeri	1	METAGENOMIC	WGS	How Host Phylogeny, Diet, and Habitat Affect Gut Microbial Diversity in Wild Snakes.	CONFIRMED_GUT
PRJNA1108923	GUT_WGS	medium	inferred	Paper title: 'How Host Phylogeny, Diet, and Habitat Affect Gut Microbial Diversity in Wild Snakes'; ENA study title: 'Metagenome or environmental sample from snake metagenome'; library_source: METAGENOMIC; library_strategy: WGS; Host organism: Trimeresurus stejnegeri (a snake species)	The paper title explicitly mentions 'gut microbial diversity' and the study involves shotgun metagenomics (WGS + METAGENOMIC) of a snake host, but the specific body site is not stated in the structured metadata fields, requiring inference from the paper title.	Trimeresurus stejnegeri	13	METAGENOMIC	WGS	How Host Phylogeny, Diet, and Habitat Affect Gut Microbial Diversity in Wild Snakes.	CONFIRMED_GUT
PRJNA1180206	GUT_WGS	high	explicit	Isolation source: 'stool'; Biome label: 'mouse gut metagenome'; library_strategy: 'WGS'; library_source: 'METAGENOMIC'	Stool is an explicit gut-proxy body site, combined with shotgun metagenomics (WGS + METAGENOMIC) of a mouse host, meeting all criteria for gut WGS study.	Mus musculus	30	METAGENOMIC	WGS	Gut microbiota metabolism of branched-chain amino acids and their metabolites can improve the physiological function of aging mice.	CONFIRMED_GUT
PRJNA1071271	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON	The library_strategy is explicitly stated as AMPLICON, which indicates 16S/amplicon sequencing rather than shotgun metagenomic sequencing, disqualifying this from GUT_WGS classification despite the clear gut body site (feces) and metagenomic biome label.	Sus scrofa	70	METAGENOMIC	AMPLICON	Multiomics comparative analysis of feces AMRGs of Duroc pigs and Tibetan and the effect of fecal microbiota transplantation on AMRGs upon antibiotic exposure.	EXCLUDED
PRJNA1077706	NOT_METAGENOMIC	high	explicit	library_source: METATRANSCRIPTOMIC	The library_source is explicitly stated as METATRANSCRIPTOMIC (RNA-based), not METAGENOMIC (DNA-based community), which disqualifies this as a shotgun metagenomics study regardless of the gut body site being explicitly confirmed.	Sus scrofa	16	METATRANSCRIPTOMIC	OTHER	Multiomics comparative analysis of feces AMRGs of Duroc pigs and Tibetan and the effect of fecal microbiota transplantation on AMRGs upon antibiotic exposure.	EXCLUDED
PRJNA1119726	NOT_METAGENOMIC	high	none	library_source: TRANSCRIPTOMIC; library_strategy: RNA-Seq	This is a transcriptomic study (RNA-Seq) of host gene expression, not shotgun metagenomic sequencing of microbial communities, despite the paper title mentioning gut microbiota analysis.	Mus musculus	6	TRANSCRIPTOMIC	RNA-Seq	Multi-omics mechanical analysis of gut microbiota, carboxylic acids, and cardiac gene expression interaction triggering diabetic cardiomyopathy.	EXCLUDED
PRJNA1098064	NOT_METAGENOMIC	high	none	library_strategy: AMPLICON	AMPLICON sequencing (16S) is not shotgun metagenomics and therefore does not meet the WGS/shotgun metagenomic requirement, regardless of body site or host organism.	Bos	4	METAGENOMIC	AMPLICON	A comparative study of the microbiomes of the ticks Rhipicephalus microplus and Hyalomma anatolicum.	EXCLUDED
PRJNA1100935	NOT_METAGENOMIC	high	none	library_strategy: AMPLICON	The study used AMPLICON sequencing (16S), not shotgun metagenomic sequencing (WGS), so it cannot be classified as a shotgun metagenomics study regardless of body site.	Bovine	4	METAGENOMIC	AMPLICON	A comparative study of the microbiomes of the ticks Rhipicephalus microplus and Hyalomma anatolicum.	EXCLUDED
PRJNA1102166	GUT_WGS	medium	inferred	Paper title states 'Probiotics Enhance Coilia nasus Growth Performance...by Regulating Glucolipid Metabolism via the Gut-Liver Axis'; library_source='METAGENOMIC'; library_strategy='WGS'	The paper title explicitly mentions the gut-liver axis and probiotics' effect on the animal, strongly suggesting gut microbiome samples, though the body site is not explicitly stated in the metadata fields; the shotgun metagenomic method is confirmed by WGS/METAGENOMIC classification.	Coilia nasus	1	METAGENOMIC	WGS	Probiotics Enhance Coilia nasus Growth Performance and Nutritional Value by Regulating Glucolipid Metabolism via the Gut-Liver Axis.	CONFIRMED_GUT
PRJNA421870	NOT_METAGENOMIC	high	explicit	library_source: GENOMIC (not METAGENOMIC); Sample title: 'female Coilia nasus muscle' (muscle tissue, not gut); ENA study title: 'female Coilia nasus muscle'	The study is a single-organism genomic sequencing (GENOMIC library_source) of muscle tissue from a fish host, not a shotgun metagenomic study of a gut microbiome.	Coilia nasus	1	GENOMIC	WGS	Probiotics Enhance Coilia nasus Growth Performance and Nutritional Value by Regulating Glucolipid Metabolism via the Gut-Liver Axis.	EXCLUDED
PRJEB47719	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON	The study used AMPLICON sequencing strategy (16S), not shotgun/WGS metagenomic sequencing, so it does not meet the criteria for GUT_WGS classification despite the explicit gut microbiome focus in the paper title.	Equus caballus	36	GENOMIC	AMPLICON	Preliminary Functional Analysis of the Gut Microbiome in Colic Horses.	EXCLUDED
PRJNA1165944	GUT_WGS	high	explicit	Isolation source: 'Rumen fluid'; library_source: 'METAGENOMIC'; library_strategy: 'WGS'; Host organism: 'Bos taurus'	Rumen fluid is an explicit gut-proxy body site for cattle, combined with shotgun metagenomic sequencing (WGS) of community DNA from a ruminant host.	Bos taurus	8	METAGENOMIC	WGS	Increased rumen Prevotella enhances BCAA synthesis, leading to synergistically increased skeletal muscle in myostatin-knockout cattle.	CONFIRMED_GUT
PRJNA1181640	NOT_METAGENOMIC	high	none	library_source: TRANSCRIPTOMIC; library_strategy: RNA-Seq	The study is transcriptomic (RNA-Seq), not shotgun metagenomic sequencing of community DNA, despite the paper title mentioning rumen microbiota.	Bos taurus	6	TRANSCRIPTOMIC	RNA-Seq	Increased rumen Prevotella enhances BCAA synthesis, leading to synergistically increased skeletal muscle in myostatin-knockout cattle.	EXCLUDED
PRJNA940600	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON	Although the study targets termite gut microbiomes (explicitly stated in title, ENA study title, and biome label), the library_strategy is AMPLICON, which indicates 16S rRNA gene sequencing rather than shotgun metagenomics (WGS/METAGENOMIC), disqualifying it from the GUT_WGS category.	Coptotermes formosanus	20	METAGENOMIC	AMPLICON	Comparison of microbial diversity and carbohydrate-active enzymes in the hindgut of two wood-feeding termites, Globitermes sulphureus (Blattaria: Termitidae) and Coptotermes formosanus (Blattaria: Rhinotermitidae).	EXCLUDED
PRJNA1075216	NOT_METAGENOMIC	high	explicit	library_strategy: RNA-Seq	The library_strategy is RNA-Seq (transcriptomic), not WGS or METAGENOMIC shotgun sequencing, which disqualifies this as a shotgun metagenomic study despite the gut source and metagenomic labeling.	Mus musculus	3	METAGENOMIC	RNA-Seq	Lactobacillus plantarum KAD protects against high-fat diet-induced hepatic complications in Swiss albino mice: Role of inflammation and gut integrity.	EXCLUDED
PRJNA737742	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON	Although the study targets mouse gut microbiome (explicit body site signal), the library_strategy is AMPLICON (16S), not WGS/METAGENOMIC shotgun sequencing, which disqualifies it from GUT_WGS classification.	Mus musculus	16	METAGENOMIC	AMPLICON	Bone loss with aging is independent of gut microbiome in mice.	EXCLUDED
PRJEB77306	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON	The library_strategy is explicitly listed as AMPLICON, which means 16S rRNA gene amplicon sequencing, not shotgun metagenomics (WGS/METAGENOMIC), regardless of the metagenomic source designation.	Carollia perspicillata	60	METAGENOMIC	AMPLICON	Microbial community dynamics in blood, faeces and oral secretions of neotropical bats in Casanare, Colombia.	EXCLUDED
PRJNA560329	GUT_WGS	high	explicit	Isolation source(s) explicitly state 'P1 gut compartment', 'P3 gut compartment', 'P4 gut compartment', 'P5 gut compartment', and 'midgut'; library_source: METAGENOMIC; library_strategy: WGS; host organisms are termites (animals); paper title confirms 'termite gut'	Shotgun metagenomic study with explicit gut body site annotations (gut compartments and midgut) from termite hosts, matching all criteria for GUT_WGS classification.	Labiotermes labralis	589	METAGENOMIC	WGS	Unveiling lignocellulolytic potential: a genomic exploration of bacterial lineages within the termite gut.	CONFIRMED_GUT
PRJNA732531	GUT_WGS	high	explicit	ENA study titles explicitly state 'Termite gut metagenome'; sample titles explicitly state 'Termite gut metagenome'; isolation_source explicitly states 'termite gut'; library_source: METAGENOMIC; library_strategy: WGS	Multiple independent fields explicitly identify this as shotgun metagenomic sequencing (WGS + METAGENOMIC) of termite gut samples, with gut body site stated directly in study/sample titles and isolation source.	Glyptotermes sp.	48	METAGENOMIC	WGS	Genome reduction and horizontal gene transfer in the evolution of Endomicrobia-rise and fall of an intracellular symbiosis with termite gut flagellates.	CONFIRMED_GUT
PRJEB73709	GUT_WGS	high	explicit	Biome label: 'mouse gut metagenome'; Paper title: 'Dietary fiber intake impacts gut bacterial and viral populations in a hypertensive mouse model'; library_source: 'METAGENOMIC'; library_strategy: 'WGS'	Multiple explicit indicators confirm this is shotgun metagenomic sequencing of mouse gut microbiome: the biome label explicitly states 'gut metagenome', the paper title explicitly mentions 'gut bacterial and viral populations', and the library source/strategy are both appropriate for shotgun metagenomics.		1	METAGENOMIC	WGS	Dietary fiber intake impacts gut bacterial and viral populations in a hypertensive mouse model.	CONFIRMED_GUT
PRJNA1150390	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON	Although feces samples from animal hosts are explicitly mentioned and would indicate a gut site, the library_strategy is AMPLICON (16S), not WGS/METAGENOMIC shotgun sequencing, which disqualifies this as a shotgun metagenomic study.	Semnopithecus schistaceus	48	METAGENOMIC	AMPLICON	Geographic and environmental impacts on gut microbiome in Himalayan langurs (Semnopithecus schistaceus) and Xizang macaques (Macaca mulatta vestita).	EXCLUDED
PRJNA1151203	GUT_WGS	high	explicit	ENA study title: 'MIMS Environmental/Metagenome sample from feces metagenome'; Biome label: 'feces metagenome'; library_source: 'METAGENOMIC'; library_strategy: 'WGS'	Multiple explicit statements identify this as shotgun metagenomic sequencing of fecal samples from two primate species, which are animal gut-proxy samples.	Semnopithecus schistaceus	30	METAGENOMIC	WGS	Geographic and environmental impacts on gut microbiome in Himalayan langurs (Semnopithecus schistaceus) and Xizang macaques (Macaca mulatta vestita).	CONFIRMED_GUT
PRJNA1123873	GUT_WGS	high	explicit	isolation_source='whole gut'; library_source='METAGENOMIC'; library_strategy='WGS'; paper title explicitly states 'gut microbiota in Fall Armyworm'	Study explicitly states whole gut as isolation source, uses shotgun metagenomic sequencing (WGS library strategy on metagenomic DNA), and the paper title confirms this is a gut microbiota profiling study of an animal (Fall Armyworm larvae).	Enterococcus casseliflavus	15	METAGENOMIC	WGS	Metagenomic profiling of gut microbiota in Fall Armyworm (Spodoptera frugiperda) larvae fed on different host plants.	CONFIRMED_GUT
PRJNA1102157	UNCERTAIN	medium	explicit	library_strategy: RNA-Seq (not WGS or METAGENOMIC); library_source: METAGENOMIC; Isolation source: stool; ENA title and biome label both indicate 'mouse gut metagenome'	The isolation source and metadata explicitly confirm gut (stool) sampling of a mouse, but the library_strategy is listed as RNA-Seq rather than WGS/METAGENOMIC, which conflicts with the shotgun requirement for GUT_WGS classification.	Mus musculus	12	METAGENOMIC	RNA-Seq	Immunomodulatory Effects of a Probiotic Mixture: Alleviating Colitis in a Mouse Model through Modulation of Cell Activation Markers and the Gut Microbiota.	REVIEW
PRJNA1105891	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON	The study uses AMPLICON sequencing (not shotgun/WGS metagenomics), which is explicitly stated as the library_strategy and disqualifies it from the GUT_WGS category regardless of body site.	Mus musculus	47	METAGENOMIC	AMPLICON	Exploring the associations between gut microbiota composition and SARS-CoV-2 inactivated vaccine response in mice with type 2 diabetes mellitus.	EXCLUDED
PRJNA1106354	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON	The library_strategy is explicitly listed as AMPLICON, which is 16S/amplicon sequencing, not shotgun WGS metagenomic sequencing, despite the gut body site being explicitly stated as fecal microbiota.	Mus musculus	98	METAGENOMIC	AMPLICON	Exploring the associations between gut microbiota composition and SARS-CoV-2 inactivated vaccine response in mice with type 2 diabetes mellitus.	EXCLUDED
PRJNA1030954	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON	The study uses AMPLICON sequencing strategy (16S), not shotgun/WGS metagenomic sequencing, despite the metagenomic library_source label and gut-associated sample descriptions.	Mus musculus	79	METAGENOMIC	AMPLICON	Gut microbiota dysbiosis deteriorates immunoregulatory effects of tryptophan via colonic indole and LBP/HTR2B-mediated macrophage function.	EXCLUDED
PRJNA1031700	GUT_WGS	high	explicit	Biome label: 'mouse gut metagenome'; Isolation source: 'colonic content from Mus musculus' and 'feces from Mus musculus'; library_source: 'METAGENOMIC'; library_strategy: 'OTHER' (not amplicon)	Study explicitly targets gut microbiota (colonic content and feces) using metagenomic library sequencing, which is consistent with shotgun WGS metagenomic analysis of an animal gut microbiome.	Mus musculus	32	METAGENOMIC	OTHER	Gut microbiota dysbiosis deteriorates immunoregulatory effects of tryptophan via colonic indole and LBP/HTR2B-mediated macrophage function.	CONFIRMED_GUT
PRJNA1032707	NOT_METAGENOMIC	high	none	library_source: TRANSCRIPTOMIC; library_strategy: OTHER; isolation_source: 'RNA sample from Mus musculus'	This is a transcriptomic study (RNA-based), not shotgun metagenomic (community DNA); despite the paper title suggesting gut microbiota focus, the sequencing method is transcriptomic rather than WGS metagenomic.	Mus musculus	36	TRANSCRIPTOMIC	OTHER	Gut microbiota dysbiosis deteriorates immunoregulatory effects of tryptophan via colonic indole and LBP/HTR2B-mediated macrophage function.	EXCLUDED
PRJNA1135459	GUT_WGS	high	explicit	Biome label: 'mouse gut metagenome'; Sample title: 'Metagenome or environmental sample from mouse gut metagenome'; library_source: 'METAGENOMIC'; library_strategy: 'WGS'; Host organism: 'Mus musculus'	Multiple explicit statements confirm shotgun metagenomic sequencing of mouse gut microbiome with WGS library strategy and METAGENOMIC source.	Mus musculus	18	METAGENOMIC	WGS	Assessment of the potential risks in SD rats gavaged with genetically modified yeast containing the cp4-epsps gene.	CONFIRMED_GUT
PRJNA952227	GUT_WGS	high	explicit	Biome label 'mouse gut metagenome'; Paper title explicitly states 'Gut Microbiota'; library_strategy 'WGS'; library_source 'METAGENOMIC'; Host organism 'Mus musculus'	The biome label explicitly identifies this as 'mouse gut metagenome' and the paper title confirms the study of gut microbiota, combined with WGS metagenomic sequencing methodology of a mouse host.	Mus musculus	28	METAGENOMIC	WGS	Effects of Early Life Exposures to the Aryl Hydrocarbon Receptor Ligand TCDF on Gut Microbiota and Host Metabolic Homeostasis in C57BL/6J Mice.	CONFIRMED_GUT
PRJNA1108955	GUT_WGS	high	inferred	Paper title: 'How Host Phylogeny, Diet, and Habitat Affect Gut Microbial Diversity in Wild Snakes'; ENA study title: 'Metagenome or environmental sample from snake metagenome'; library_source: METAGENOMIC; library_strategy: WGS	The paper title explicitly states 'Gut Microbial Diversity in Wild Snakes' and uses shotgun metagenomic sequencing (WGS + METAGENOMIC), but the specific body site (gut) is inferred from the paper title rather than stated in structured metadata fields.	Lycodon rufozonatus	21	METAGENOMIC	WGS	How Host Phylogeny, Diet, and Habitat Affect Gut Microbial Diversity in Wild Snakes.	CONFIRMED_GUT
PRJNA1144187	GUT_WGS	medium	inferred	Paper title: 'How Host Phylogeny, Diet, and Habitat Affect Gut Microbial Diversity in Wild Snakes'; library_source: METAGENOMIC; library_strategy: WGS; biome label: 'snake metagenome'	The paper title explicitly mentions 'Gut Microbial Diversity' in snakes, the library strategy is WGS (shotgun metagenomics), and the source is METAGENOMIC, but the ENA record itself does not state body site explicitly—only the paper title indicates gut sampling, so confidence is medium and body_site_signal is inferred.	missing	48	METAGENOMIC	WGS	How Host Phylogeny, Diet, and Habitat Affect Gut Microbial Diversity in Wild Snakes.	CONFIRMED_GUT
PRJNA1041488	NOT_METAGENOMIC	high	none	library_strategy: AMPLICON	AMPLICON sequencing (16S) is explicitly stated, which is not shotgun/WGS metagenomic sequencing regardless of the gut context implied by the paper title.	Mus musculus	50	OTHER	AMPLICON	Dynamic alterations and potential roles of gut microbiota and metabolites in Angiostrongylus cantonensis-infected mice and rats.	EXCLUDED
PRJNA1041579	NOT_METAGENOMIC	high	none	library_strategy: AMPLICON	AMPLICON sequencing (16S) is explicitly stated, which is not shotgun metagenomics (WGS), regardless of the animal host or inferred gut body site.	Rattus norvegicus	70	OTHER	AMPLICON	Dynamic alterations and potential roles of gut microbiota and metabolites in Angiostrongylus cantonensis-infected mice and rats.	EXCLUDED
PRJNA1302101	GUT_WGS	high	explicit	Paper title states 'fecal samples'; isolation source states 'Nannopterum auritus fecal samples'; biome label states 'gut metagenome'; library_source: 'METAGENOMIC'; library_strategy: 'Hi-C' (shotgun-based)	Fecal samples from an avian host with explicit gut metagenome classification and shotgun metagenomic methodology meet all criteria for GUT_WGS classification.	Phalacrocorax auritus	2	METAGENOMIC	Hi-C	Hi-C Metagenome Deconvolution of Double-Crested Cormorant (Nannopterum auritum) Fecal Samples Demonstrates Feasibility of Linking Microbial Genomes, AMR Genes, and Mobile Elements in Avian Microbiomes.	CONFIRMED_GUT
PRJNA1477333	GUT_WGS	medium	inferred	Paper title contains 'Broiler Intestinal Fermentation'; library_source='METAGENOMIC'; library_strategy='WGS'	The paper title explicitly mentions 'Broiler Intestinal Fermentation' indicating gut/intestinal sampling of a broiler chicken, combined with metagenomic WGS methodology, but body site is not stated in structured fields so confidence is reduced.		48	METAGENOMIC	WGS	Investigation of the Effect of TiO(2) as a Dietary Marker on Broiler Intestinal Fermentation: Combination of Ex Vivo Simulation and In Vivo Approach.	CONFIRMED_GUT
PRJNA1258580	NOT_METAGENOMIC	high	none	Biome label: 'Elysia papillosa' (the organism itself, not a microbiome sample); Sample title: 'Invertebrate sample from Elysia papillosa'; Isolation source: 'Marine'	This is a whole-organism shotgun genome study of a sea slug (Elysia papillosa), not a metagenome of its microbiome; the sequencing targets the host organism's own DNA including plastid content, not the microbial community within it.	Elysia papillosa	4	METAGENOMIC	WGS	Bacterial Community Composition and Functional Potential of the Kleptoplastic Sea Slug Elysia papillosa.	EXCLUDED
PRJNA1442370	GUT_WGS	high	explicit	Paper title: 'Altitude-Associated Divergence of the Gut Microbiome in Endangered Forest Musk Deer'; library_source: METAGENOMIC; library_strategy: WGS	The paper title explicitly states 'Gut Microbiome' and the study uses shotgun metagenomic sequencing (WGS strategy on metagenomic source DNA) of an animal host.		75	METAGENOMIC	WGS	Altitude-Associated Divergence of the Gut Microbiome in Endangered Forest Musk Deer: Evidence From Integrated Metagenomics, Metabolomics, and Culturomics.	CONFIRMED_GUT
PRJEB107655	GUT_WGS	high	explicit	Paper title explicitly states 'gut metagenome-assembled genomes'; library_strategy is WGS; library_source is METAGENOMIC; host is Callithrix jacchus (marmoset, an animal)	The paper title unambiguously identifies this as a shotgun metagenomic study of gut microbiota in marmosets following antibiotic treatment, with WGS strategy and metagenomic source confirming the shotgun approach.	Callithrix jacchus	64	METAGENOMIC	WGS	Mapping the metagenomic landscape: combined shotgun sequencing and quantitative PCR to profile gut metagenome-assembled genomes in marmosets following treatment with a broad-spectrum antibiotic cocktail.	CONFIRMED_GUT
PRJNA952655	UNCERTAIN	low	inferred	Paper title states 'Gut microbiome' of grape berry moth larvae; library_strategy is 'RNA-Seq' not WGS/METAGENOMIC; library_source is 'METAGENOMIC' but contradicts RNA-Seq strategy.	Although the paper title explicitly mentions 'gut microbiome' and the host is an insect larva (Paralobesia viteana), the library_strategy is RNA-Seq rather than shotgun WGS/METAGENOMIC sequencing, which disqualifies this as a shotgun metagenomic study; the mismatch between METAGENOMIC library_source and RNA-Seq strategy creates ambiguity about the actual method used.	Paralobesia viteana	14	METAGENOMIC	RNA-Seq	Gut microbiome of the grape berry moth, Paralobesia viteana (Lepidoptera: Tortricidae) larvae through the grape ripening process revealed by high-throughput 16S and 18S rRNA sequencing.	REVIEW
