study_accession	verdict	confidence	body_site_signal	evidence	reasoning	host_species	n_samples	library_source	library_strategy	paper_title	tier
PRJNA473429	GUT_WGS	high	explicit	Paper title: 'An integrated workflow for enhanced taxonomic and functional coverage of the mouse fecal metaproteome.' Biome label: 'mouse gut metagenome'. Library_source: 'METAGENOMIC'. Library_strategy: 'WGS'.	The paper title explicitly mentions 'fecal' and the biome label explicitly states 'mouse gut metagenome', combined with WGS metagenomic sequencing strategy, confirming this is a shotgun metagenomic study of mouse gut microbiome.	Mus	48	METAGENOMIC	WGS	An integrated workflow for enhanced taxonomic and functional coverage of the mouse fecal metaproteome.	CONFIRMED_GUT
PRJNA202303	NOT_METAGENOMIC	high	explicit	library_source: TRANSCRIPTOMIC; library_strategy: RNA-Seq	This is an RNA-Seq study (transcriptomic), not shotgun metagenomics of community DNA, despite the gut microbiome context in the biome label and paper title.		59	TRANSCRIPTOMIC	RNA-Seq	The Capacity to Produce Hydrogen Sulfide (H(2)S) via Cysteine Degradation Is Ubiquitous in the Human Gut Microbiome.	EXCLUDED
PRJNA671745	GUT_WGS	high	explicit	Isolation source(s) include 'gut of red swamp crayfish'; library_strategy: WGS; library_source: METAGENOMIC; ENA biome label includes 'invertebrate gut metagenome'; paper title explicitly states 'Gut Microbiota'	Multiple explicit statements confirm shotgun metagenomic sequencing (WGS, METAGENOMIC library source) of gut samples from red swamp crayfish (an animal), with gut clearly identified as the primary body site of interest in isolation source and study title.	sediment metagenome	44	METAGENOMIC	WGS	Metagenomics Analysis Reveals Compositional and Functional Differences in the Gut Microbiota of Red Swamp Crayfish, Procambarus clarkii, Grown on Two Different Culture Environments.	CONFIRMED_GUT
PRJNA705073	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON	Although the body site is explicitly gut (isolation source specifies 'bumble bee gut', 'queen bumble bee gut', 'worker bumble bee gut'), the library_strategy is AMPLICON, which indicates 16S/amplicon sequencing rather than shotgun metagenomic sequencing, disqualifying it from GUT_WGS classification.	Bombus terrestris	188	METAGENOMIC	AMPLICON	Strain-level analysis reveals the vertical microbial transmission during the life cycle of bumblebee.	EXCLUDED
PRJNA729899	GUT_WGS	high	explicit	Isolation source: 'Cecal contents'; Biome label: 'mouse gut metagenome'; Library strategy: 'WGS'; Library source: 'GENOMIC'	Cecal contents is an explicit gut-proxy body site, the biome is explicitly labeled as gut metagenome, WGS with GENOMIC source indicates shotgun metagenomic sequencing of community DNA from the mouse gut.	Mus musculus	31	GENOMIC	WGS	Integrated Metagenomics and Metabolomics to Reveal the Effects of Policosanol on Modulating the Gut Microbiota and Lipid Metabolism in Hyperlipidemic C57BL/6 Mice.	CONFIRMED_GUT
PRJNA695151	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON	The library_strategy is explicitly AMPLICON, which indicates 16S/targeted amplicon sequencing rather than shotgun metagenomic sequencing (WGS/METAGENOMIC), disqualifying it from GUT_WGS classification regardless of the gut-associated body site (midgut).	bee metagenome	18	METAGENOMIC	AMPLICON	The Native Dietary Habits of the Two Sympatric Bee Species and Their Effects on Shaping Midgut Microorganisms.	EXCLUDED
PRJEB47865	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON	AMPLICON sequencing (16S) is explicitly stated as the strategy, which is not shotgun metagenomics, so this does not qualify as WGS metagenomics despite the gut metagenome biome label.		315	METAGENOMIC	AMPLICON	Cross-Sectional Analysis of the Microbiota of Human Gut and Its Direct Environment in a Household Cohort with High Background of Antibiotic Use.	EXCLUDED
PRJEB44507	GUT_WGS	high	explicit	Sample titles: 'Human paleofeces, Eurac ID 2604; Human paleofeces, Eurac ID 2610; Human paleofeces, Eurac ID 2611; Human paleofeces, Eurac ID 2612'; library_source: 'METAGENOMIC'; library_strategy: 'WGS'	Paleofeces are explicitly identified as the sample type (fecal material), and WGS metagenomic library preparation confirms this is shotgun metagenomics of gut microbiome from ancient human fecal samples.	Homo sapiens	4	METAGENOMIC	WGS	Hallstatt miners consumed blue cheese and beer during the Iron Age and retained a non-Westernized gut microbiome until the Baroque period.	CONFIRMED_GUT
PRJDB8800	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON	The library_strategy is explicitly AMPLICON (16S), not shotgun/WGS metagenomic sequencing, which disqualifies this from GUT_WGS classification despite the gut body site being explicitly stated.	Lumbriculus variegatus	1	GENOMIC	AMPLICON	Differences of Gut Microbiota in the Freshwater Blackworm (Lumbriculus variegatus: Oligochaeta) in Two Different Habitat Conditions.	EXCLUDED
PRJNA683934	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON	AMPLICON sequencing (16S) is not shotgun metagenomics, even though the body site (cecal) is explicitly gut-related and explicitly stated.	Mus musculus	73	GENOMIC	AMPLICON	Data on cecal and fecal microbiota and predicted metagenomes profiles of female mice receiving whole flaxseed or its oil and secoisolariciresinol diglucoside components.	EXCLUDED
PRJNA728669	GUT_WGS	high	explicit	Paper title: 'A Molecular Survey of Bacterial Species in the Guts of Black Soldier Fly Larvae (Hermetia illucens)'; library_source: GENOMIC with library_strategy: WGA (whole genome amplification, a shotgun approach for metagenomic community DNA)	The paper title explicitly states 'guts' as the body site, the host is an animal (Black Soldier Fly larvae), and WGA applied to GENOMIC material represents shotgun metagenomic sequencing of gut microbiota.	Hermetia illucens	1	GENOMIC	WGA	A Molecular Survey of Bacterial Species in the Guts of Black Soldier Fly Larvae (Hermetia illucens) Reared on Two Urban Organic Waste Streams in Kenya.	CONFIRMED_GUT
PRJNA665061	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON	Although isolation source is explicitly 'feces' (gut proxy) and library_source is METAGENOMIC, the library_strategy is AMPLICON, which indicates 16S/marker gene sequencing rather than shotgun metagenomics and therefore does not qualify as WGS metagenomic.	Homo sapiens	105	METAGENOMIC	AMPLICON	The East Asian gut microbiome is distinct from colocalized White subjects and connected to metabolic health.	EXCLUDED
PRJNA750668	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON	AMPLICON sequencing (16S rRNA) is not shotgun metagenomics; the study uses targeted amplicon approach rather than WGS/shotgun metagenomic sequencing.	Cicadidae	343	METAGENOMIC	AMPLICON	Fly-over phylogeny across invertebrate to vertebrate: The giant panda and insects share a highly similar gut microbiota.	EXCLUDED
PRJNA750776	UNCERTAIN	low	none	Biome label includes 'gut metagenome' and 'plant metagenome'; host organisms listed as Bambusa oldhamii, Cerambycidae, Phyllostachys edulis, Pyralidae; library_source=METAGENOMIC, library_strategy=WGS; however, no explicit animal host specified and no body_site field provided	While 'gut metagenome' appears in biome labels and WGS/METAGENOMIC methods are confirmed, the host organisms listed are primarily plants (bamboo species) and insects (beetle/moth families), with no explicit statement that these are the animal subjects or that gut samples were taken from them rather than from the plants or their associated microbiota.	Cerambycidae	12	METAGENOMIC	WGS	Fly-over phylogeny across invertebrate to vertebrate: The giant panda and insects share a highly similar gut microbiota.	REVIEW
PRJNA722063	GUT_WGS	high	explicit	Paper title explicitly states 'Fecal' analysis; Isolation source explicitly lists 'Fecal1; Fecal2; Fecal3; Fecal4; Fecal5; Fecal6'; library_strategy is 'WGS'; library_source is 'GENOMIC' (metagenomic community DNA).	This is a shotgun metagenomic study of fecal samples from an animal (Przewalski's horses), meeting all criteria for gut microbiome WGS metagenomics.	horse metagenome	6	GENOMIC	WGS	Metagenomic Analysis of Fecal Archaea, Bacteria, Eukaryota, and Virus in Przewalski's Horses Following Anthelmintic Treatment.	CONFIRMED_GUT
PRJNA715941	NOT_METAGENOMIC	high	none	library_strategy: AMPLICON	The study uses AMPLICON sequencing strategy (16S), not shotgun/WGS metagenomic sequencing, which disqualifies it from GUT_WGS classification regardless of the host organism or body site.	Capsicum pubescens	119	METAGENOMIC	AMPLICON	Metagenomic Survey of the Highly Polyphagous Anastrepha ludens Developing in Ancestral and Exotic Hosts Reveals the Lack of a Stable Microbiota in Larvae and the Strong Influence of Metamorphosis on Adult Gut Microbiota.	EXCLUDED
PRJNA658839	UNCERTAIN	low	inferred	library_source: METAGENOMIC; library_strategy: RNA-Seq; Paper title mentions 'Intestinal Microbiota'; Host: Mus musculus (mouse); Body site field is empty; Isolation source is empty	While the paper title explicitly mentions 'Intestinal Microbiota' suggesting gut origin, the library_strategy is listed as RNA-Seq rather than WGS/METAGENOMIC (shotgun), which contradicts the shotgun metagenomics requirement for GUT_WGS classification, creating uncertainty about the actual sequencing method used.	Mus musculus	32	METAGENOMIC	RNA-Seq	Targeting Purinergic Receptor P2RX1 Modulates Intestinal Microbiota and Alleviates Inflammation in Colitis.	REVIEW
PRJEB41222	GUT_WGS	high	explicit	Paper title: 'The link between broiler flock heterogeneity and cecal microbiome composition.' Library_strategy: WGS. Library_source: METAGENOMIC.	The paper title explicitly names 'cecal microbiome' (cecum is part of the gut), the methodology is shotgun metagenomics (WGS + METAGENOMIC), and broilers are chickens (animals).		60	METAGENOMIC	WGS	The link between broiler flock heterogeneity and cecal microbiome composition.	CONFIRMED_GUT
PRJEB40788	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON	Although the sample is from pig fecal microbiota (gut source, explicitly stated), the library_strategy is AMPLICON, which indicates 16S rRNA gene sequencing rather than shotgun metagenomics (WGS/METAGENOMIC), so this does not qualify as a GUT_WGS study.	Sus scrofa	1	METAGENOMIC	AMPLICON	Assessment of Biolog Ecoplate(TM) method for functional metabolic diversity of aerotolerant pig fecal microbiota.	EXCLUDED
PRJNA738540	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON	Although the isolation source is cecum (gut-proxy) and library_source is METAGENOMIC, the library_strategy is explicitly AMPLICON, which indicates 16S/targeted amplicon sequencing rather than shotgun metagenomic sequencing.	Mus musculus	43	METAGENOMIC	AMPLICON	Ear wound healing in MRL/MpJ mice is associated with gut microbiome composition and is transferable to non-healer mice via microbiome transplantation.	EXCLUDED
PRJNA648173	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON	The library_strategy is explicitly AMPLICON, which is 16S/marker-gene sequencing, not shotgun metagenomics (WGS), despite the gut context and METAGENOMIC library_source label.	Alicella gigantea	9	METAGENOMIC	AMPLICON	Metagenomic Insights Into the Structure and Function of Intestinal Microbiota of the Hadal Amphipods.	EXCLUDED
PRJNA706869	GUT_WGS	high	explicit	Paper title explicitly states 'Hindgut Microbiota'; isolation source explicitly listed as 'cecum' (hindgut component); ENA study title and biome label both state 'gut metagenome'; library_source is 'METAGENOMIC'; host is Capra hircus (dairy goat, an animal).	Multiple explicit statements confirm shotgun metagenomic analysis (METAGENOMIC library_source) of an animal gut microbiome (cecum/hindgut of dairy goat), meeting all criteria for GUT_WGS classification.	Capra hircus	18	METAGENOMIC	OTHER	A Metagenomic Insight Into the Hindgut Microbiota and Their Metabolites for Dairy Goats Fed Different Rumen Degradable Starch.	CONFIRMED_GUT
PRJNA558047	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON	The library_strategy is explicitly AMPLICON, which indicates 16S/amplicon sequencing rather than shotgun metagenomic sequencing (WGS/METAGENOMIC), disqualifying this as a shotgun metagenomics study regardless of the gut body site being explicitly stated in the biome label.	pangolin	9	GENOMIC	AMPLICON	The gut microbiome of the Sunda pangolin (Manis javanica) reveals its adaptation to specialized myrmecophagy.	EXCLUDED
PRJNA644640	NOT_METAGENOMIC	high	none	library_strategy: AMPLICON; Abstract notes '16S rRNA Gene Sequence Data'; isolation_source includes Lab reagents, PBS, Sucrose solution, Fish food pellet—not gut samples	This is a 16S rRNA amplicon study (not shotgun metagenomics) of mosquito tissues with control/contamination samples, not a gut microbiome study.	Aedes albopictus	92	GENOMIC	AMPLICON	Identification and Removal of Potential Contaminants in 16S rRNA Gene Sequence Data Sets from Low-Microbial-Biomass Samples: an Example from Mosquito Tissues.	EXCLUDED
PRJNA687492	UNCERTAIN	low	inferred	Paper title mentions 'Wild Drosophila Gut Microbiome'; host organism is 'Drosophila melanogaster'; library_source='GENOMIC' and library_strategy='WGS'; but isolation_source lists 'Apple dumpster; Kitchen A/B/C/D/E' not gut samples; sample titles describe individual Acetobacter and Enterobacter isolates not community samples.	Although the paper title explicitly states 'Gut Microbiome' and the host is Drosophila (an animal), the library_source='GENOMIC' (single-organism genomes) and isolation_sources (kitchen/dumpster environments) contradict a shotgun metagenomic study of gut community DNA, suggesting these are instead sequenced bacterial isolates cultured from the gut rather than direct community sequencing.	Drosophila melanogaster	81	GENOMIC	WGS	Genome-Inferred Correspondence between Phylogeny and Metabolic Traits in the Wild Drosophila Gut Microbiome.	REVIEW
PRJNA495032	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON	Although the study targets gut microbiota of animals (lemurs) using fecal samples, the library_strategy is AMPLICON (16S), not WGS/METAGENOMIC shotgun sequencing, which disqualifies it from the GUT_WGS category.	Propithecus edwardsi	129	METAGENOMIC	AMPLICON	Gut microbiota of frugo-folivorous sifakas across environments.	EXCLUDED
PRJEB41306	GUT_WGS	high	explicit	Paper title: 'Interkingdom Gut Microbiome and Resistome of the Cockroach Blattella germanica'; Biome label: 'insect gut metagenome'; library_source: 'METAGENOMIC'; library_strategy: 'WGS'	The paper title explicitly states 'Gut Microbiome', the biome label explicitly identifies 'insect gut metagenome', the library source is metagenomic community DNA, and the strategy is shotgun WGS sequencing of the cockroach (Blattella germanica, an animal) gut microbiome.	insect gut metagenome	75	METAGENOMIC	WGS	Interkingdom Gut Microbiome and Resistome of the Cockroach Blattella germanica.	CONFIRMED_GUT
PRJNA646026	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON	The library_strategy is explicitly stated as AMPLICON, which indicates 16S amplicon sequencing rather than shotgun metagenomics (WGS), disqualifying it from the GUT_WGS category regardless of the gut microbiome target.	Cyprinus carpio	25	METAGENOMIC	AMPLICON	Effects of phytonutrient-supplemented diets on the intestinal microbiota of Cyprinus carpio.	EXCLUDED
PRJNA667196	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON; library_source: METAGENOMIC; isolation_source: cecal content samples	Although the study targets an animal gut site (mouse cecal content) and uses metagenomic library source, the library_strategy is explicitly AMPLICON, which indicates 16S/marker-gene sequencing rather than shotgun metagenomics, disqualifying it from GUT_WGS classification.	Mus musculus	92	METAGENOMIC	AMPLICON	Berberine attenuates choline-induced atherosclerosis by inhibiting trimethylamine and trimethylamine-N-oxide production via manipulating the gut microbiome.	EXCLUDED
PRJNA667205	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON	The study uses AMPLICON sequencing (16S rRNA gene amplicon), not shotgun/WGS metagenomic sequencing, despite the metagenomic source material and explicit gut body site (cecal content).	Mus musculus	60	METAGENOMIC	AMPLICON	Berberine attenuates choline-induced atherosclerosis by inhibiting trimethylamine and trimethylamine-N-oxide production via manipulating the gut microbiome.	EXCLUDED
PRJNA404082	UNCERTAIN	low	mixed	ENA study title includes 'Adult mouse fecal pellets' (gut signal), but library_source='GENOMIC' (not METAGENOMIC), and biome labels include both 'gut metagenome'/'human gut metagenome' AND pure culture isolates (E. coli strains, H. pylori, C. israelensis). Isolation sources mix gut samples (fecal pellets, infant gut) with non-gut pathogens (duodenal ulcer H. pylori, cultured ATCC samples, plasmid DNA).	This study conflates metagenomic samples (fecal, gut) with pure isolate genomes and single-organism sequencing; the library_source='GENOMIC' contradicts metagenomic classification, and the sample composition is too heterogeneous to confirm this is primarily a shotgun gut microbiome study rather than a mixed methods study of bacterial genomes including some gut-derived isolates.	Homo sapiens	18	GENOMIC	WGS	Discovering multiple types of DNA methylation from bacteria and microbiome using nanopore sequencing.	REVIEW
PRJNA559199	NOT_METAGENOMIC	high	none	library_source: GENOMIC (not METAGENOMIC); Sample titles indicate pure cultures of individual bacterial species (e.g., 'Microbe sample from Bacillus amyloliquefaciens'); biome labels list single species, not communities	This is a study of isolated bacterial genomes using whole-genome amplification (WGA), not shotgun metagenomics of a microbial community from any body site.	Nocardia otitidiscaviarum	9	GENOMIC	WGA	Discovering multiple types of DNA methylation from bacteria and microbiome using nanopore sequencing.	EXCLUDED
PRJNA559386	GUT_WGS	high	explicit	Isolation source: 'fecal pellets; fecal pellets after Tylosin treatment'; ENA study title: 'Metagenome or environmental sample from mouse gut metagenome'; Biome label: 'mouse gut metagenome'; library_source: 'GENOMIC' (metagenomic community DNA); library_strategy: 'WGA' (whole-genome amplification, shotgun approach)	Fecal samples from mouse (Mus musculus) with explicit metagenomic library source and shotgun sequencing strategy constitute a gut microbiome WGS study.	Mus musculus	2	GENOMIC	WGA	Discovering multiple types of DNA methylation from bacteria and microbiome using nanopore sequencing.	CONFIRMED_GUT
PRJNA699440	GUT_WGS	high	explicit	Isolation source: 'feces'; ENA study title: 'Metagenome or environmental sample from mouse gut metagenome'; library_source: 'METAGENOMIC'; library_strategy: 'WGS'	Multiple explicit indicators confirm shotgun metagenomic sequencing of fecal/gut samples from mouse: fecal isolation source, WGS library strategy, METAGENOMIC library source, and gut metagenome labeling.	Mus musculus	1	METAGENOMIC	WGS	Neonatal Milk Fat Globule Membrane Supplementation During Breastfeeding Ameliorates the Deleterious Effects of Maternal High-Fat Diet on Metabolism and Modulates Gut Microbiota in Adult Mice Offspring in a Sex-Specific Way.	CONFIRMED_GUT
PRJEB39818	UNCERTAIN	low	inferred	library_source: GENOMIC; library_strategy: WGS; biome contains gut-associated bacteria (Akkermansia mucinophila, Bacteroides caecimuris, Bifidobacterium animalis, Enterococcus faecalis, Escherichia coli); sample titles include 'virions' and cryptic codes (EHS_C1, EHS_I1); no explicit host organism or body site stated	While the bacterial taxa are strongly gut-associated and the title mentions 'gut microbial strains,' the library_source is GENOMIC (single-organism) not METAGENOMIC (community), the samples appear to be cultured/isolated strains and virions rather than direct environmental samples, and no explicit host organism or body site is stated—making this appear to be in vitro work with isolated gut bacteria rather than a direct gut microbiome study.	Salmonella enterica subsp. enterica serovar Typhimurium	92	GENOMIC	WGS	High throughput sequencing provides exact genomic locations of inducible prophages and accurate phage-to-host ratios in gut microbial strains.	REVIEW
PRJNA698475	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON	The library_strategy is explicitly AMPLICON (16S), not WGS/METAGENOMIC shotgun sequencing, which disqualifies this as a shotgun metagenomic study despite the gut microbiome sampling context.	Haemonchus contortus	2	METAGENOMIC	AMPLICON	Bacterial profiling of Haemonchus contortus gut microbiome infecting Dohne Merino sheep in South Africa.	EXCLUDED
PRJNA680753	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON	AMPLICON sequencing (16S rRNA) is not shotgun metagenomic sequencing, regardless of the stated body site (midgut) or host organism.	Culex quinquefasciatus	9	GENOMIC	AMPLICON	Metagenome Sequencing Reveals the Midgut Microbiota Makeup of Culex pipiens quinquefasciatus and Its Possible Relationship With Insecticide Resistance.	EXCLUDED
PRJNA668192	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON	AMPLICON sequencing (16S) is explicitly stated, not shotgun/WGS metagenomic sequencing, despite the gut microbiome context.	Cyclonaias_asperata;Cyclonaias asperata	60	GENOMIC	AMPLICON	Gut Microbiomes of Freshwater Mussels (Unionidae) Are Taxonomically and Phylogenetically Variable across Years but Remain Functionally Stable.	EXCLUDED
PRJNA609527	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON	The study used AMPLICON sequencing (16S rRNA gene amplification), not shotgun metagenomics (WGS), as explicitly indicated by the library_strategy field, so it does not meet the definition of shotgun/WGS metagenomic study regardless of the gut body site.	Sprague Dawley rat	31	OTHER	AMPLICON	Antidepressants fluoxetine and amitriptyline induce alterations in intestinal microbiota and gut microbiome function in rats exposed to chronic unpredictable mild stress.	EXCLUDED
PRJNA663847	GUT_WGS	high	explicit	Isolation source: 'fecal sample'; ENA study title: 'faece'; Biome label: 'rat gut metagenome'; library_source: 'METAGENOMIC'; Paper title explicitly mentions 'intestinal microbiota and gut microbiome'	Multiple explicit statements confirm this is shotgun metagenomic sequencing (library_source=METAGENOMIC) of fecal/gut samples from rats, directly matching the GUT_WGS category.	Sprague Dawley rat	12	METAGENOMIC	OTHER	Antidepressants fluoxetine and amitriptyline induce alterations in intestinal microbiota and gut microbiome function in rats exposed to chronic unpredictable mild stress.	CONFIRMED_GUT
PRJEB37860	UNCERTAIN	low	none	library_source=METAGENOMIC; library_strategy=RNA-Seq; host organism=Blattella germanica (German cockroach); body_site not explicitly stated; isolation_source not provided	While the host is an animal (cockroach) and library_source is METAGENOMIC, the library_strategy is RNA-Seq (transcriptomic) rather than WGS/shotgun, and no body site is explicitly stated; without explicit confirmation of gut sampling and with transcriptomic rather than genomic methodology, classification cannot be determined.	Blattella germanica	24	METAGENOMIC	RNA-Seq	gNOMO: a multi-omics pipeline for integrated host and microbiome analysis of non-model organisms.	REVIEW
PRJEB39545	NOT_METAGENOMIC	high	none	library_strategy: AMPLICON	AMPLICON sequencing (16S/rRNA) is explicitly stated, not shotgun metagenomics (WGS/METAGENOMIC), so this does not qualify as a shotgun metagenomic study regardless of the animal host or gut-related paper title.	Hermetia illucens	45	GENOMIC	AMPLICON	Impact of Processed Food (Canteen and Oil Wastes) on the Development of Black Soldier Fly (Hermetia illucens) Larvae and Their Gut Microbiome Functions.	EXCLUDED
PRJEB38845	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON	The study uses AMPLICON sequencing (16S rRNA gene amplicon), not shotgun/WGS metagenomics, which disqualifies it from the GUT_WGS category regardless of the gut body site being explicitly mentioned.	Oncorhynchus mykiss	32	METAGENOMIC	AMPLICON	Effects of full replacement of dietary fishmeal with insect meal from Tenebrio molitor on rainbow trout gut and skin microbiota.	EXCLUDED
PRJNA605019	NOT_METAGENOMIC	high	none	library_source: TRANSCRIPTOMIC; library_strategy: RNA-Seq	This is an RNA-Seq transcriptomic study, not shotgun metagenomic sequencing of community DNA.	Mus musculus	43	TRANSCRIPTOMIC	RNA-Seq	The pleiotropic effects of prebiotic galacto-oligosaccharides on the aging gut.	EXCLUDED
PRJNA605460	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON	AMPLICON sequencing (16S, not shotgun) is explicitly stated as the library strategy, disqualifying this from shotgun metagenomic classification despite the gut body site being explicitly mentioned in the study and biome labels.	Mouse	328	METAGENOMIC	AMPLICON	The pleiotropic effects of prebiotic galacto-oligosaccharides on the aging gut.	EXCLUDED
PRJNA605640	GUT_WGS	high	explicit	Biome label: 'mouse gut metagenome'; Paper title: 'The pleiotropic effects of prebiotic galacto-oligosaccharides on the aging gut'; library_strategy: 'WGS'; library_source: 'GENOMIC'	The biome label explicitly identifies 'mouse gut metagenome', the paper title explicitly mentions 'aging gut', library strategy is WGS (shotgun), and library source is GENOMIC (community DNA), confirming this is a shotgun metagenomic study of mouse gut microbiome.	Mouse	12	GENOMIC	WGS	The pleiotropic effects of prebiotic galacto-oligosaccharides on the aging gut.	CONFIRMED_GUT
PRJNA606062	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON (explicitly stated as AMPLICON, not WGS or METAGENOMIC)	The library_strategy is AMPLICON, which indicates 16S amplicon sequencing rather than shotgun metagenomic sequencing, regardless of the gut microbiome context.	Mouse	111	METAGENOMIC	AMPLICON	The pleiotropic effects of prebiotic galacto-oligosaccharides on the aging gut.	EXCLUDED
PRJNA647157	GUT_WGS	high	explicit	Paper title: 'Characterization of Metagenome-Assembled Genomes and Carbohydrate-Degrading Genes in the Gut Microbiota of Tibetan Pig'; ENA study title: 'Metagenome or environmental sample from gut metagenome'; Biome label: 'gut metagenome'; Isolation source: 'fresh feces'; library_source: 'METAGENOMIC'; library_strategy: 'WGS'	Multiple explicit statements confirm shotgun metagenomic sequencing of gut microbiota from fecal samples of an animal (Tibetan pig).	tibetan pig	11	METAGENOMIC	WGS	Characterization of Metagenome-Assembled Genomes and Carbohydrate-Degrading Genes in the Gut Microbiota of Tibetan Pig.	CONFIRMED_GUT
PRJNA657669	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON	The study uses AMPLICON sequencing (16S rRNA gene amplicon), not shotgun/WGS metagenomic sequencing, despite the gut microbiome focus and metagenomic biome label.	gilthead sea bream	85	METAGENOMIC	AMPLICON	Effect of dietary oil from Camelina sativa on the growth performance, fillet fatty acid profile and gut microbiome of gilthead Sea bream (Sparus aurata).	EXCLUDED
PRJNA628144	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON	AMPLICON library strategy indicates 16S rRNA gene sequencing, not shotgun metagenomics, despite the metagenomic source designation and gut body site information.	Molpadia musculus	36	METAGENOMIC	AMPLICON	Genomic Characterization of a Novel Tenericutes Bacterium from Deep-Sea Holothurian Intestine.	EXCLUDED
PRJNA656992	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON	AMPLICON sequencing (16S) is explicitly stated, which is not shotgun metagenomic sequencing; therefore this does not qualify as a WGS metagenomic study regardless of body site.	Mus musculus	51	GENOMIC	AMPLICON	Selective Bacterial Colonization of the Murine Larynx in a Gnotobiotic Model.	EXCLUDED
PRJNA667247	GUT_WGS	high	explicit	Isolation source(s): 'Duodenum Biopsy; Duodenum Lumen'; library_source: 'METAGENOMIC'; library_strategy: 'WGA' (shotgun metagenomics); host organism: 'Bos taurus'	The duodenum is part of the small intestine and qualifies as a gut/intestinal microbiome site; the study uses shotgun metagenomic sequencing (WGA strategy) of community DNA from an animal gut location.	Bos taurus	36	METAGENOMIC	WGA	In vivo Microbiome Profiling of the Luminal and Mucosal Surface of the Duodenum Using a Cannulated Yearling Bovine Model.	CONFIRMED_GUT
PRJNA609985	NOT_METAGENOMIC	high	inferred	library_strategy: AMPLICON; Paper title mentions 'intestinal microbiota'	This is a 16S rRNA amplicon study (AMPLICON library strategy), not shotgun metagenomics (WGS/METAGENOMIC), despite the paper discussing intestinal microbiota of gilthead sea bream.	Sparus aurata	60	METAGENOMIC	AMPLICON	Genetic selection for growth drives differences in intestinal microbiota composition and parasite disease resistance in gilthead sea bream.	EXCLUDED
PRJNA645287	NOT_METAGENOMIC	high	none	library_strategy: AMPLICON	AMPLICON sequencing (16S) is explicitly stated, which is not shotgun metagenomic sequencing regardless of the gut context.	Triatoma rubrofasciata	49	OTHER	AMPLICON	Dynamic of Composition and Diversity of Gut Microbiota in Triatoma rubrofasciata in Different Developmental Stages and Environmental Conditions.	EXCLUDED
PRJNA601771	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON	Although the biome label explicitly states 'fish gut metagenome' and the study clearly targets zebrafish gut microbiota, the library_strategy is AMPLICON (not WGS/METAGENOMIC shotgun), which disqualifies it from the GUT_WGS category as amplicon sequencing is not shotgun metagenomics.	Danio rerio 'biological replicate = 1'	12	METAGENOMIC	AMPLICON	Alterations in the Gut Microbiota of Zebrafish (Danio rerio) in Response to Water-Soluble Crude Oil Components and Its Mixture With a Chemical Dispersant.	EXCLUDED
PRJNA603642	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON	The library_strategy is AMPLICON, which indicates 16S amplicon sequencing rather than shotgun metagenomic sequencing; shotgun metagenomics requires WGS or METAGENOMIC strategy designation.	Capra	16	METAGENOMIC	AMPLICON	Cryptosporidium parvum Infection Depletes Butyrate Producer Bacteria in Goat Kid Microbiome.	EXCLUDED
PRJNA602878	NOT_METAGENOMIC	high	none	library_strategy: AMPLICON	The library_strategy is explicitly AMPLICON, which indicates 16S rRNA gene sequencing, not shotgun metagenomics (WGS/METAGENOMIC), regardless of the paper title mentioning gut microbiome.	Mus musculus	9	METAGENOMIC	AMPLICON	Alterations of Gut Microbiome and Metabolite Profiling in Mice Infected by Schistosoma japonicum.	EXCLUDED
