study_accession	discrepancy_flags	discrepancy_host	discrepancy_host_missing	discrepancy_gut	discrepancy_multihost	discrepancy_notes
PRJEB35362	host_missing; gut_sample_issue; multihost_issue		paper names: human and canine (dog); deposit blank/generic	Biome labels include 'soil metagenome' alongside 'gut metagenome' and 'human gut metagenome'. The abstract mentions 'non-fecal sediments' as a control/comparison category that the pipeline distinguishes from fecal material.	Biome labels explicitly include both 'human gut metagenome' and (implied by 'canine paleofeces' in paper) separate host species. Samples with biome='gut metagenome' (generic) and 'human gut metagenome' suggest at least human origin, and paper states canine samples are also present and distinguishable, yet deposit lacks explicit canine host labeling.	The study has multiple reporting gaps: host species information is missing from the deposit despite being central to the paper's analysis (human and canine paleofeces distinguished), the deposit includes soil metagenome samples (non-gut controls), and the multihost nature is not clearly reflected in deposit host-species annotation.
PRJNA1062915						No data-quality issues detected. The paper describes an animal model study in neonatal rats; the deposit correctly identifies Rattus norvegicus as the host with colonic samples appropriately tagged as gut microbiome.
PRJNA932774						No quality issues detected. Paper and deposit are consistent: mouse lifespan and gut microbiota study with appropriately labeled mouse samples.
PRJNA436633						No reporting errors detected; paper and deposit are in full agreement on host identity (Rhinopithecus roxellana / golden snub-nosed monkey), sample type (fecal/gut), and single-host design.
PRJNA1227608	host_mismatch; gut_sample_issue	paper: ruminant (cattle/buffalo implied by ruminant intestinal microbiome study) vs deposit: Mazzaella japonica (a red macroalga, not a ruminant host)		Isolation source includes 'seaweed tuft' which is neither a gut sample nor from a ruminant animal. The deposit metadata explicitly lists seaweed as an isolation source, contradicting the paper's focus on ruminant intestinal (gut) samples.		Critical errors: deposit host is Mazzaella japonica (seaweed), not a ruminant animal as the paper describes; isolation sources include seaweed tuft, inconsistent with a ruminant gut microbiome study.
PRJNA783381						No reporting errors detected. Paper and deposit are aligned on host (sheep) and sample type (gut microbiome).
PRJNA1228539						No reporting errors detected. Host identity matches perfectly (Trachypithecus francoisi); gut-microbiome designation is consistent with paper focus and deposit metadata.
PRJNA1110616						No reporting errors detected; host identity, sample type (gut), and metadata are all consistent between paper and deposit.
PRJNA553191						Study is correctly reported: human gut microbiota from long-living Chinese subjects, all metadata aligned between paper and deposit.
PRJNA361402						No data-quality errors detected. Paper and deposit metadata are fully aligned on human host, gut samples, and study design.
PRJNA599289	host_missing; multihost_issue		paper names: Apis cerana (Eastern honey bee) and Apis mellifera (Western honey bee); deposit blank/generic		The deposit's isolation sources explicitly list TWO DISTINCT host species: 'eastern honey bee gut' and 'western honey bee gut' (corresponding to Apis cerana and Apis mellifera). Sample titles label these as separate insect gut metagenomes.	The deposit has a host_missing error (host species field blank despite being named in isolation sources) and a multihost_issue (sample-level data explicitly documents two distinct honey bee species as separate hosts).
PRJNA1067975						Study is a human gut-microbiota metagenomic analysis of CDI and related conditions; host identity (Homo sapiens) is consistent across paper and deposit; no reporting errors detected.
PRJNA999451	host_missing; gut_sample_issue		paper names: piglets; deposit blank/generic	Isolation source field shows 'Heghba'' (unrecognized/non-standard term); sample titles describe 'Metagenome or environmental sample from metagenome' with no body-site specification. Paper explicitly states cecum sampling, but deposit lacks this body-site information.		Deposit metadata is incomplete: host field is missing and body-site information is absent despite paper's explicit focus on piglet cecum samples during weaning stress.
PRJNA1078419						No reporting errors detected. Paper describes a mouse-model study of metabolic traits and microbiome; deposit correctly identifies host as Mus musculus with gut samples.
PRJNA1261602	host_missing		paper names: mouse; deposit blank/generic			Host metadata is missing from the ENA deposit (paper describes mouse EAU model but deposit host field is blank), representing a metadata gap rather than a contradiction.
PRJNA1190643						No reporting errors detected. Study uses mouse (Mus musculus) fecal samples, appropriate for an animal model study of bacterial colonization mechanisms, with all samples confirming gut origin.
PRJEB33500	host_missing		paper names: human (Homo sapiens); deposit blank/generic			Host_missing only: paper describes human subjects but deposit host field is empty, though sample titles correctly label samples as 'human gut metagenome'.
PRJNA691798						No quality issues detected. Paper describes a legitimate geriatric murine model study of human listeriosis; deposit host (Mus musculus) is correct and all samples are gut-derived.
PRJEB25514	host_missing		paper names: Humans (long-living people in China); deposit blank/generic			Host missing: paper studies human gut microbiota but deposit host field is blank, representing a metadata gap rather than a conflict.
PRJEB37062	host_missing; multihost_issue		paper names: human donors and preclinical animal models (mouse, rat, pig, rabbit); deposit blank/generic		Deposit biome labels explicitly name five distinct hosts: human, mouse, pig, rabbit, rat. Sample titles (WLS-006 through WLS-038) map to different biome categories. Paper title and abstract focus on 'interpersonal differences in gut microbiota' (suggesting human focus) but deposit contains samples from at least 5 different host species.	The deposit host field is missing (host_missing), and the deposit sample-level biome labels reveal explicit multi-host data (human, mouse, pig, rabbit, rat) that the paper's emphasis on 'interpersonal differences' does not clearly forefront as the primary study design.
PRJNA1127265						No reporting errors detected. Host identity, sample type, and metadata are all consistent between paper and deposit.
PRJNA1353630	host_missing		paper names: Macaca thibetana (Tibetan macaque); deposit blank/generic			Host missing: paper identifies Tibetan macaques as the study subject, but deposit provides no host field metadata.
PRJEB10338	host_missing		paper names: bovine (cattle); deposit blank/generic			Host metadata is missing from the ENA deposit, though the paper clearly identifies bovine as the source organism.
PRJEB66261						No reporting errors detected. Paper and deposit are aligned on host species (Pycnoscelus surinamensis), and the study design as a cockroach animal model experiment is appropriate and consistent.
PRJEB6456	host_missing		paper names: homeothermic animals (implied to include humans based on context); deposit blank/generic			Host identity is missing from the deposit's structured host field, though sample-level metadata (titles and biome label) clearly indicates human gut origin, which is consistent with the paper's reference to homeothermic animals.
PRJNA486795						No reporting errors detected. Study appropriately describes human gut mycobiome samples in Type 2 diabetes and metformin context; deposit metadata aligns with paper claims.
PRJNA685168						No reporting errors detected. Paper and deposit are consistent: human IBD gut microbiome study with Homo sapiens samples.
PRJNA1061085						No data-quality issues detected; paper and deposit metadata are fully consistent for host, sample type, and study design.
PRJNA793776						No reporting errors detected; paper and deposit metadata are concordant for a human gut microbiome study of Crohn's disease.
PRJNA1161368						No reporting errors detected; host identity matches correctly, gut samples are appropriate, and no multi-host conflict exists.
PRJNA1084102						No reporting errors detected. Mouse host in deposit correctly matches the murine tumor models described in the paper.
PRJEB81356						All metadata elements are consistent and valid; no reporting errors detected.
PRJNA635116	multihost_issue				Paper title and abstract explicitly state the study compares 'Traditional Human Populations and Nonhuman Primates'. The deposit host field shows only 'Gorilla1', indicating gorilla samples only. The paper describes sampling from BOTH humans and nonhuman primates (gorillas), but the deposit metadata appear to represent only gorilla host.	The paper describes a comparative study of human and nonhuman primate (gorilla) gut microbiomes, but the deposit host field only identifies 'Gorilla1', suggesting potential underreporting of human samples in the metadata.
PRJNA1029302	host_mismatch	paper: ruminant (cattle/sheep/buffalo implied by 'ruminant intestinal microbiome') vs deposit: Kyphosus sydneyanus (a fish species)				Critical host mismatch: paper describes a ruminant (mammal) microbiome study, but deposit contains fish (Kyphosus sydneyanus) gut samples — a genuine and fundamental conflict.
PRJNA489090						No reporting errors detected; paper and deposit are concordant for human infant gut microbiome study.
PRJNA1061804						No reporting errors detected. Paper and deposit are fully consistent: single-host chicken study with appropriate cecal gut samples.
PRJNA352475	gut_sample_issue			Deposit isolation_sources include: 'chest skin', 'tongue dorsum', 'vaginal introitus' in addition to 'stool'. Paper title and abstract focus on infant gut microbiome and resistance genes in gut carriage, implying gut-only analysis. Deposit metadata reveals non-gut samples (skin, oral, vaginal) mixed in the study.		Valid reporting error detected: deposit sample-level metadata reveals non-gut body sites (chest skin, tongue, vaginal) mixed with gut samples, contradicting the paper's focus on gut microbiome.
PRJNA715601						No reporting errors detected. Paper and deposit are in full agreement on host identity (Homo sapiens / human infants) and sample type (gut microbiome).
PRJNA849401						No reporting errors detected; paper and deposit metadata are in full agreement for host identity (seagull), sample type (gut/feces), and study design.
PRJEB64278						No reporting errors detected. Paper and deposit metadata are consistent on host species (common marmoset), sample type (fecal/gut), and study design.
PRJNA407583	host_missing		paper names: Ailuropoda melanoleuca (giant panda); deposit blank/generic			Host missing: the paper clearly identifies giant panda as the study organism, but the deposit host field is blank.
PRJNA529943						No genuine reporting errors detected. Paper and deposit are consistent: both concern yak fecal microbiota from the Qinghai-Tibetan Plateau.
PRJNA616396	host_missing		paper names: human; deposit blank/generic			Host species metadata is missing from the deposit (only generic 'gut' provided), creating a gap between the paper's implied human study and the deposit's blank host_species field.
PRJEB34982						No reporting errors detected. Paper and deposit agree on pig host identity and gut sample origin.
PRJNA823519						No reporting errors detected. Paper and deposit metadata are consistent regarding the two host species (pig and carp) and their intestinal samples.
PRJNA1119029						No reporting errors detected. Host is correctly identified as Homo sapiens, and samples are appropriately characterized as cultured isolates from a defined human gut microbial community.
PRJEB22062	host_mismatch	paper: chicken vs deposit: pig (inferred from sample titles NL-PooledPig-F1-*)				Critical host_mismatch: paper describes chicken gut microbiome, but deposit sample titles explicitly identify pig (PooledPig-*), not chicken.
PRJNA491522						No genuine reporting errors detected. The paper describes a mouse-model study of pathogen–microbiome interactions, and the deposit appropriately identifies Mus musculus as the host with fecal samples. The 'human gut metagenome' biome label is misleading but does not contradict the host identity.
PRJNA278393	host_mismatch; multihost_issue	paper: homeothermic animals (plural, diverse species implied by 'guts of homeothermic animals') vs deposit: Homo sapiens			Paper abstract and title refer to 'homeothermic animals' (plural); deposit host field shows only 'Homo sapiens'. The paper's framing ('inhabiting the guts of homeothermic animals') implies multiple host species were sampled, but the deposit metadata lists only a single host species.	The paper describes a multi-species study of Bacteroidales S24-7 from 'homeothermic animals' but the deposit metadata records only Homo sapiens as the host, indicating either incomplete metadata capture or a genuine mismatch in study scope.
PRJNA1121382						No reporting errors detected. Paper describes a hamster (golden hamster/Mesocricetus auratus) model of COVID-19 with gut samples; deposit confirms single host species with appropriate cecal gut samples.
PRJEB81717	multihost_issue				Host field lists 'Papio cynocephalus and P. anubis' — two distinct host species. Paper presents wild baboons as a single group without specifying multiple species.	Multi-host issue detected: deposit names two distinct Papio species while paper treats baboons as a single host group.
PRJNA943611						No errors detected. Study correctly describes gnotobiotic Mus musculus gut samples; deposit metadata aligns with paper.
PRJNA656141						All metadata consistent: host matches, sample type is gut-derived (feces), and no multihost evidence detected.
PRJNA1415237	host_missing		paper names: elephant (primary sampling source); deposit blank/generic			Host missing: deposit host field is blank despite paper explicitly sampling from elephant gut microbiome, creating a metadata gap.
PRJEB15371	host_missing		paper names: human (inflammatory bowel disease patients); deposit blank/generic			The paper describes a human IBD microbiome meta-analysis, but the deposit host field is absent—a metadata gap rather than a direct conflict.
PRJNA841806						No genuine reporting errors detected; paper and deposit are consistent on host identity (Gallus gallus), and no contradictory sample-level metadata is available in the deposit.
PRJEB33577	host_missing		paper names: human and canine (dog); deposit blank/generic			Host species (human and canine) are named in the paper but the deposit host field is empty, indicating a host_missing metadata gap.
PRJEB21624	host_missing		paper names: bovine (cattle rumen); deposit blank/generic			Host metadata is missing from the ENA deposit despite the paper's clear focus on bovine rumen microbiota.
PRJNA786358						No reporting errors detected. Paper and deposit are consistent: dairy cows (Bos taurus) hindgut microbiome study.
PRJNA1390420						No reporting errors detected. Study describes a murine metabolic stress model with mouse host (Mus musculus) correctly recorded in deposit; sample-level site metadata absent but study is clearly gut-microbiota focused.
PRJEB31266						Paper and deposit are in agreement: bovine rumen microbiome study with Bos taurus as host. No reporting errors detected.
PRJNA271618						Paper and deposit are aligned on host (Papio cynocephalus); no reporting errors detected.
PRJNA1192041						No reporting errors detected. Paper and deposit are consistent: both describe a rat gut microbiome study, appropriate for an animal model of human diabetic neuropathy.
PRJEB15296	host_missing		paper names: neonatal piglets (Sus scrofa); deposit blank/generic			Host missing: the paper clearly studies neonatal piglets but the ENA deposit contains no host information.
PRJNA1393111						No reporting errors detected; paper and deposit agree on host species (channel catfish), though sample-level body-site metadata is absent from deposit.
PRJEB1220	host_missing		paper names: homeothermic animals (guts of homeothermic animals); deposit blank/generic			Host identity is missing from the deposit metadata while the paper clearly identifies samples from homeothermic animal guts.
PRJNA527177						No reporting errors detected. Paper and deposit consistently describe a human intestinal (faecal) sample; host identification and sample type align.
PRJNA807368						No reporting errors detected; host identity matches perfectly, and the study is a straightforward single-host gut microbiome investigation in piglets.
PRJNA1184454						No data-quality issues detected. Paper and deposit both consistently reference calves; no contradictory sample-level metadata available to audit further.
PRJEB15095	host_missing		paper names: Mouse (implied by context: intestinal inflammation study with animal model methodology and author affiliations); deposit blank/generic			Host organism is missing from the deposit metadata; the paper describes an animal model study of inflammation-associated dysbiosis, but the deposit host field is blank.
PRJEB55812						No valid data-quality errors detected. Paper and deposit are consistent: both describe a mouse-focused metagenomic study using exhaust dust filters from murine colonies for environmental health monitoring.
PRJNA1069780						Study is a chicken gut microbiota metagenomics analysis with host correctly identified as Gallus gallus in the deposit; no reporting errors detected.
PRJNA845803						No reporting errors detected. Deposit host 'Grainfed Angus 1' correctly matches the paper's study of grain-fed beef cattle gut virome.
PRJNA1119053						No reporting errors detected. Deposit shows Mus musculus as host for a defined gut microbial community study, appropriate for animal-model microbiome research on intestinal colonization.
PRJNA473126						No reporting errors detected. Deposit host (Homo sapiens) matches paper (human infants); sample-level metadata fields are empty but non-contradictory.
PRJNA1164203						All metadata consistent: paper and deposit agree on Macaca fascicularis as host, intestinal gut samples are appropriate, and no reporting errors detected.
PRJNA772888	host_mismatch; multihost_issue	paper: Eurasian otters (Lutra lutra) and leopard cats (Prionailurus bengalensis) vs deposit: Prionailurus bengalensis			Paper abstract and title explicitly name two distinct host species (Eurasian otters Lutra lutra and leopard cats Prionailurus bengalensis) as subjects of the same study, but deposit host field contains only Prionailurus bengalensis. Sample-level deposit metadata fields are empty, preventing explicit verification, but the mismatch between paper's dual-host framing and deposit's single-host listing indicates incomplete metadata.	The paper investigates fecal samples from two distinct wildlife hosts (Eurasian otters and leopard cats), but the deposit host field records only Prionailurus bengalensis, missing the second host species entirely.
PRJEB6997	gut_sample_issue			Deposit host field explicitly states 'human oral metagenome', which is an oral/mouth sample site, not a gut sample.		The deposit indicates 'human oral metagenome' but the paper describes a gut microbiota study; this is a genuine body-site mismatch (oral vs. gut) that warrants flagging.
PRJNA376566						No valid reporting errors detected. Paper describes human infant gut microbiome; deposit host is Homo sapiens. Agreement on host identity; no contradictions in available deposit metadata.
PRJNA786887						Study correctly identifies cats (Felis catus) as the host organism with no metadata gaps or contradictions detected.
PRJNA813004						No genuine reporting errors detected. Paper compares two cattle breeds under identical conditions; deposit lists primary host as Angus cattle. Both breeds are cattle (same species), and deposit metadata is sparse but not contradictory.
PRJNA339914						Study describes human infant gut microbiome; deposit correctly records Homo sapiens as host with no contradictions detected despite sparse sample-level annotation.
PRJNA1039141						No reporting errors detected. Paper and deposit agree on host (Sus scrofa / pigs), and study design (gut metagenomics from fecal samples) is consistent across sources.
PRJEB83610						No reporting errors detected. Deposit host 'Capra' correctly matches paper's goats; gut-focus is appropriate despite empty body-site field.
PRJNA1254096	multihost_issue				Paper abstract explicitly names three indigenous fish species: Schizothorax biddulphi (SB), Diptychus maculatus (DM), and Triplophysa yarkandensis (TY), each with distinct biomarkers and profiles. Deposit host field lists only Diptychus maculatus.	The deposit host field lists only Diptychus maculatus, but the paper investigates three distinct indigenous fish species (Schizothorax biddulphi, Diptychus maculatus, Triplophysa yarkandensis) with species-specific findings, constituting a multihost_issue.
PRJNA787952						No reporting errors detected; paper and deposit agree on human host identity, and no conflicting sample-level metadata is present.
PRJNA1050241						No data-quality issues detected. Paper and deposit are fully aligned on chicken (Gallus gallus) as the host and gut as the sample site.
PRJNA590977						No reporting errors detected. Paper and deposit are concordant on host identity (horse, Equus ferus caballus), sample type (faecal/gut), and scope (single host species).
PRJNA760651						No genuine reporting errors detected. Deposit host 'Jinhua pig' matches the paper's study of pigs; sample-level metadata is absent but not contradictory.
PRJNA1092431						No data-quality issues detected. Paper and deposit are in agreement on murine host; study design (animal model, single-host gut microbiome) is appropriate and consistent.
PRJNA1063657	host_mismatch	paper: Larus relictus (Relict Gull) and Anatidae species (waterfowl/ducks) vs deposit: Escherichia coli				Critical host mismatch: paper studies wild bird gut microbiota (Larus relictus and Anatidae), but deposit lists Escherichia coli as the host organism.
PRJNA908720						No reporting errors detected. Paper and deposit agree on canine host; fecal samples are appropriate for digestive tract virome study.
PRJEB50568	host_missing		paper names: children (humans); deposit blank/generic			Host missing: deposit lacks host metadata (should record 'Homo sapiens') despite paper's clear focus on children's faecal samples.
PRJEB46806						No reporting errors detected; deposit host Gallus gallus correctly matches paper's red junglefowl, and no conflicting sample-level metadata is evident.
PRJNA1298833						No reporting errors detected. Paper and deposit are consistent on host (Canis lupus familiaris / domestic dog); no sample-level metadata conflicts are evident.
PRJNA559605	multihost_issue				Paper explicitly states samples from three distinct Panthera species (lion, leopard, tiger); deposit host field lists only Panthera tigris tigris.	The deposit's host field captures only Panthera tigris, but the paper explicitly compares gut microbiomes across three distinct Panthera species (lion, leopard, tiger), indicating incomplete host documentation in the deposit for a multi-host comparative study.
PRJNA1116578						No reporting errors detected. Paper and deposit are consistent: mouse model of Alzheimer's disease with longitudinal fecal sampling is correctly documented.
PRJEB20308	host_missing; multihost_issue		paper names: human (Homo sapiens); deposit blank/generic		Paper explicitly compares 'dog and human gut microbiomes' but deposit host field lists only Canis lupus familiaris. Deposit sample-level metadata is empty, preventing verification of distinct host species labeling, but the paper's comparative design implies multiple host species were sampled.	Human host is missing from deposit metadata despite explicit presence in paper's comparative analysis of dog and human microbiomes.
PRJNA1148165						Paper and deposit both clearly identify human (Homo sapiens) gut microbiome samples from IBD patients; no metadata conflicts detected.
PRJNA1264679						No reporting errors detected. Paper and deposit are consistent: single-host pig (Sus scrofa) gut microbiome study with appropriate metadata alignment.
PRJNA544874						No reporting errors detected. The mouse host matches the animal model study design, and no conflicting sample-level metadata is present in the deposit.
PRJNA356225						No reporting errors detected; paper and deposit are in agreement on host identity (Homo sapiens) and no contradictory sample-level metadata is present.
PRJNA862908						No genuine reporting errors detected; paper and deposit are concordant on human host and gut sample type.
PRJEB7759	host_missing		paper names: homeothermic animals (guts of multiple homeothermic animal species implied); deposit blank/generic			host_missing flagged: paper clearly describes gut samples from homeothermic animals but deposit host field is blank, representing a metadata gap.
PRJNA906124						No reporting errors detected. Paper and deposit are concordant on host (Felis catus), study design (fecal microbiome), and there is no evidence of multiple hosts or non-gut samples.
PRJNA1226362						No genuine reporting errors detected. Paper and deposit are consistent on the use of SPF mice as the host organism; minor strain documentation differences do not constitute errors.
PRJNA1102860						No reporting errors detected; paper and deposit are consistent for a feral horse gut microbiome study.
PRJNA422434	host_missing		paper names: Human (Type 2 diabetes patients across populations); deposit blank/generic			Host is missing from deposit metadata: the paper describes human Type 2 diabetes patients but the deposit host field is blank.
PRJNA848403						No reporting errors detected. Paper and deposit are concordant on host (seagull/seagulls), and deposit lacks contradictory sample-level metadata.
PRJNA1320939	host_missing		paper names: lactating sows (Sus scrofa); deposit blank/generic			Host is missing from the ENA deposit metadata despite being clearly identified in the paper as lactating sows.
PRJNA761967						No reporting errors detected. Paper and deposit are consistent on host (broiler chicken / Gallus gallus domesticus), and the described cecal sampling aligns with a poultry gut microbiome study.
PRJNA354235						Meta-analysis study of human IBD patients; deposit host (Homo sapiens) matches paper, and no conflicting sample-level data detected despite sparse metadata.
PRJNA666163						No data-quality issues detected. The paper and deposit are consistent for host identity (broiler chicken = Gallus gallus), and there is no evidence of conflicting sample types or missing host information.
PRJNA804100	host_mismatch; multihost_issue	paper: Lampsilis cardium (freshwater mussel) AND Micropterus salmoides (host fish) vs deposit: Micropterus salmoides only			Paper abstract explicitly names two distinct host organisms: Lampsilis cardium (mussel) and Micropterus salmoides (fish). These are sampled in the same study with comparative microbiota analysis. Deposit lists only one host species.	The deposit metadata is incomplete: it captures only Micropterus salmoides but the paper explicitly studied and sampled gut microbiota from both M. salmoides and Lampsilis cardium, with L. cardium being a primary focus for microbiota analysis results.
PRJEB41102	host_missing		paper names: human; deposit blank/generic			Paper describes human gut bacteria but deposit host field is missing—a metadata gap requiring attention.
PRJNA515074						Study is a murine (mouse) gut microbiome investigation with appropriate host metadata match between paper and deposit; no reporting errors detected.
PRJEB1786						No reporting errors detected. Paper describes human gut mycobiome in Type 2 diabetes; deposit host field indicates human, consistent with paper despite limited sample-level metadata.
PRJEB24006	host_missing		paper names: human neonates; deposit blank/generic			The paper studies human neonatal faecal microbiota, but the deposit lacks host metadata, resulting in a host_missing flag only.
PRJNA532626						No reporting errors detected; study compares gut microbiomes from wild and captive black rhinoceros (Diceros bicornis), and deposit host metadata is consistent with the paper.
PRJNA575543						No errors detected. Paper and deposit are aligned: Sus scrofa host, intestinal sampling, gut microbiome study.
PRJNA1307965						No genuine reporting errors detected; this is a properly documented mouse-model study of gut microbiota in acute lung injury with concordant host identity between paper and deposit.
PRJNA1163371						No data quality issues detected; paper and deposit are consistent for host identity (Sus scrofa/pigs) and sample type (gut metagenome).
PRJNA1205074						No reporting errors detected. Paper describes rat MASLD model with gut microbiota analysis; deposit correctly identifies Rattus norvegicus as host with appropriate 16S and metagenomic samples.
PRJNA741606						No data-quality issues detected. Paper and deposit metadata are concordant on host species (goat/Capra hircus) and sample type (rumen/gut metagenome).
PRJNA1377454						No reporting errors detected. Paper and deposit are consistent: mouse (Mus musculus) gut microbiota study using an OVA-induced asthma model.
PRJNA951204						No reporting errors detected. Host metadata is consistent (Sus scrofa for pig samples), samples are clearly gut-derived, and only one host species is present.
PRJNA744219						No reporting errors detected; beef cattle (Bos taurus) rectum samples are correctly reported in both paper and deposit as a single-host gut microbiome study.
PRJNA1206727						No reporting errors detected. Paper and deposit are fully consistent: human hospitalized patients, gut microbiome samples, single host species.
PRJNA1010706						No reporting errors detected; paper and deposit metadata are consistent for host identity and sample type.
PRJNA291299						No reporting errors detected. Paper and deposit are consistent: chicken/hen microbiome study with all samples from caecal (gut) contents.
PRJNA849257						No reporting errors detected. Paper and deposit are consistent: dogs with idiopathic epilepsy, fecal microbiome samples, single host species (Canis lupus familiaris).
PRJNA1269239	multihost_issue				Sample titles explicitly list 'Mallard' and 'Shaoxing duck' as distinct sample groups. Deposit sample-level metadata differentiates two species.	The study explicitly compares two duck species (Mallard and Shaoxing duck), which is properly reflected in both the paper and deposit metadata; this is the intended experimental design, not a data-quality error.
PRJNA1260157						No reporting errors detected. Paper describes a mouse-model study of Echinococcus infection; deposit correctly identifies host as Mus musculus with gut microbiome samples.
PRJNA898082						No reporting errors detected; paper and deposit are in agreement on host (beagle), sample type (gut), and study design (single-host radiation exposure study).
PRJNA1138893						No reporting errors detected. Paper and deposit are fully consistent: human gut microbiome study from CRC patients and healthy controls.
PRJNA1232403						No reporting errors detected. Paper and deposit are in full agreement on host identity (Apis mellifera), sample origin (honey bee gut), and isolation source (hindgut).
PRJNA1158959	multihost_issue				Deposit explicitly lists 4 distinct Sus scrofa subspecies: Sus scrofa vittatus, Sus scrofa cristatus, Sus scrofa leucomystax, and Sus scrofa (unspecified). Paper title and abstract present this as a single comparative study of wild vs domesticated Sus without clearly breaking down individual subspecies as separate cohorts.	Deposit contains samples from 4 distinct Sus scrofa subspecies (vittatus, cristatus, leucomystax, plus unspecified scrofa), whereas the paper presents the analysis as a simple wild vs domesticated comparison without explicitly detailing the multiple subspecies composition.
PRJNA397886						No quality issues detected. Paper and deposit are fully concordant: laboratory mouse (Mus musculus) gut microbiome study with appropriate stool/gut metagenome samples.
PRJNA1219188						No reporting errors detected; paper and deposit are fully concordant regarding host species (piglets/Sus scrofa domestica) and sample type (fecal/gut metagenome).
PRJNA273761						No reporting errors detected. Paper and deposit are concordant: human infant fecal metagenome study with appropriate metadata alignment.
PRJNA945365	host_mismatch	paper: grass carp vs deposit: Micropterus salmoides				Critical host mismatch: paper studies grass carp but deposit samples are from largemouth bass (Micropterus salmoides).
PRJNA301903						No reporting errors detected. Paper and deposit are consistent on human infant gut microbiome study.
PRJEB71372						Study perfectly matches paper description: bottlenose dolphin (Tursiops truncatus) fecal samples for FMT evaluation with no data quality issues.
PRJEB27498						No reporting errors detected. Paper and deposit are fully concordant on Atlantic cod (Gadus morhua) gut microbiota study.
PRJNA861716						No reporting errors detected. Paper and deposit are in full agreement: human gut microbiome study with Homo sapiens as the single host.
PRJEB4391	host_missing		paper names: kittens (feline); deposit blank/generic			Host metadata is missing from the ENA deposit (blank host field) even though the paper clearly describes kitten fecal samples.
PRJEB13870	host_missing		paper names: human; deposit blank/generic			Host is missing from the deposit metadata: the paper studies human gut microbiota, but the ENA host field is blank.
PRJEB10878	host_missing		paper names: human; deposit blank/generic			Host is missing from the deposit host field despite clear human origin in the paper and sample metadata.
PRJNA1141435						No reporting errors detected; paper and deposit metadata are in full agreement for host identity, sample type (gut), and host count.
PRJNA375762						No reporting errors detected. Paper and deposit are fully aligned on chicken (Gallus gallus) as the sole host organism with gut samples.
PRJNA1025260						No reporting errors detected. Mouse host and gut sample type in deposit are correct for this animal model study of colorectal cancer.
PRJEB23561						No data-quality issues detected. Paper and deposit are aligned on bovine rumen microbiome sampling.
PRJNA312222						No reporting errors detected; paper and deposit are in full agreement on human gut microbiome origin.
PRJNA1302757	host_missing		paper names: Teleogryllus occipitalis (female field cricket, Orthoptera: Gryllidae); deposit blank/generic			Host species (Teleogryllus occipitalis) is missing from the deposit host field, representing a metadata gap that should be filled.
PRJNA1253095						No reporting errors detected; paper and deposit metadata are consistent for host species, sample type (gut/fecal), and study design.
PRJNA894343	gut_sample_issue			Isolation sources include 'Farm_Feeder_and_Drinker', 'Farm_Wall_and_Floor', 'Negative Control library preparation', 'Negative Control of DNA extraction', 'Negative Control of Swab used for Environmental sampling', and 'Positive Control' — these are environmental and control samples, NOT gut samples.		Genuine gut_sample_issue detected: deposit includes environmental farm surfaces and controls, not purely gut samples as the paper's framing suggests.
PRJEB14312						Paper and deposit are aligned: both describe a sheep (Ovis aries) faecal microbiota study with single-host, gut-sample samples analysed by metagenomics.
PRJNA717669	gut_sample_issue; multihost_issue			Isolation sources include: kidney, lung, spleen from multiple individual rats (R22, R26, R27, R28). These are organ/tissue samples, NOT gut samples.	Deposit sample-level data explicitly lists two distinct host species across samples: Rattus norvegicus and Rattus rattus (seen in isolation source labels and host_species_list).	Two issues detected: (1) samples are from non-gut organs (kidney, lung, spleen) despite apparent gut-microbiome framing, and (2) deposit explicitly names two distinct rat species (Rattus norvegicus and Rattus rattus) while paper presents them as undifferentiated 'wild rodents.'
PRJEB73511	gut_sample_issue; multihost_issue			Paper describes sampling horses' skin, oral, and fecal microbiomes ('along with the horses' skin, oral and fecal microbiomes'). The deposit biome labels include 'horse metagenome' and the sample titles 'Horse microbiome' do not distinguish sample types, but the paper explicitly states non-gut samples (skin and oral) were collected from horses.	The deposit's sample-level data (sample titles and biome labels) explicitly names two distinct host species: 'Horse microbiome' and 'Human gut microbiome' in the titles, and 'horse metagenome' and 'human gut metagenome' in the biome labels. The paper presents the study as examining both horse and human samples, which is confirmed by explicit multi-host labeling in the deposit metadata.	Deposit contains explicit evidence of two hosts (horse and human samples) with non-gut samples (horse skin and oral) that are not clearly distinguished in metadata, creating minor annotation gaps rather than outright errors.
PRJNA475948						All metadata are consistent: the paper studies two termite species with distinct microbiomes, and the deposit correctly captures both species in separate samples with appropriate gut-sample annotations.
PRJNA609596						No data quality issues detected. Paper and deposit are in agreement on host (Sprague-Dawley rats = Rattus norvegicus) and sample type (gut/caecum samples).
PRJNA1010388						No reporting errors detected. Host is correctly identified as Mus musculus; this is an appropriate animal-model study of disease; sample origin (fecal/gut microbiota) aligns with paper narrative despite sparse deposit metadata.
PRJNA744378						No reporting errors detected; paper and deposit are consistent regarding the single insect host (Rhodnius prolixus) and gut metagenome sampling.
PRJNA1066198						No reporting errors detected; paper and deposit are fully concordant on host identity (Bombus impatiens bumblebee queens) and sample type (gut microbiota).
