study_accession	study_title	study_description
PRJEB21612	Alterations of the gut microbiome in hypertension	Human gut microbiota is believed to be directly or indirectly involved in cardiovascular diseases and hypertension. However, the identification and functional status of the hypertension-related gut microbe(s) have not yet been surveyed in a comprehensive manner. Here we characterized the gut microbiome in hypertension status by comparing fecal samples of 60 patients with primary hypertension and 60 gender-, age-, and body weight-matched healthy controls based on whole-metagenome shotgun sequencing.
PRJEB21827	A/B testing for colon model	Two colon vessels were used for A/B testing (treated [D] / untreated [W]). Samples were taken prior to treatment (day 0) and after day 3 and day 7. All samples were taken in replicate.
PRJEB22062	As part of the EFFORT project, we sampled feces from pig and poultry livestock in nine European countries (BE, BG, DK, FR, ES, GE, NL, PL, SP). More than 9000 animals were sampled, across 181 pig and 178 poultry herds to generate herd-level composite fecal samples. Using shotgun metagenomics, we have quantified and characterized the antimicrobial resistance gene pools (resistomes) in Europeâs two most intensively raised livestock species.	Antimicrobial resistance (AMR) in bacteria and associated morbidity and mortality is increasing. Use of antimicrobials for livestock selects for AMR that can subsequently be transferred to the human reservoir. This flow of AMR between reservoirs demands surveillance in livestock as well as in humans. As part of the EFFORT project (http://www.effort-against-amr.eu/), we have quantified and characterized the acquired resistance gene pools (resistomes) of 181 pig and 178 poultry farms from nine European countries, generating more than 5,000 Gigabases of DNA sequence, using shotgun metagenomics. The pig and poultry resistomes were very different in abundance and composition. There was a significant country effect on the resistomes, more so in pigs than poultry. We found higher AMR loads in pigs, while poultry resistomes were more diverse. We detected several newly described, critical AMR genes, including mcr-1 and optrA, which differed both between host species and countries. We found that the total AMR level, was associated with the overall country-specific antimicrobial usage in livestock and that countries with comparable usage patterns have similar resistomes.
PRJEB22175	PATCH_MICROBIOME	This study addresses the role of the intestinal microbiome in susceptibilty to Salmonella Typhi and Salmonella Paratyphi A in a human challenge model. Briefly, volunteers are challenged with 10(4) S. Typhi or 10(3) S. Paratyphi Ai and monitored over a two-week period for clinical signs of typhoid fever. Approximately sixty percent of challenged volunteers develop typhoid fever. All volunteers receive antibiotic treatment. The study takes fecal samples from challenged individuals and studies microbiome composition day 0, 7, 14, 28 and 90 post challenge. This data is part of a pre-publication release. For information on the proper use of pre-publication data shared by the Wellcome Trust Sanger Institute (including details of any publication moratoria), please see http://www.sanger.ac.uk/datasharing/
PRJEB22765	The comparison of Macaca fascicularis gut microbiota to other mammalians and its changes under type 2 diabetes condition	The Macaca fascicularis model is widely used in scientific research and drug development as its genetics is very closed to human being. Comparing its similar feeding habits with human, the characteristics of Macaca fascicularis gut microbiota and its similarities to human and other mammalians remains unknown and knowledge of the functional interplay between the gut microbiota and host physiology in Macaca fascicularis is also limited. In our study, faecal samples from 20 Macaca fascicularis individuals were applied to metagenomic sequencing to construct the first gene catalogue of Macaca fascicularis gut bacteria. Totally 1.9 million non-redundant bacterial genes were identified.
PRJEB22973	A catalog of the Sprague-Dawley (SD) rat gut metagenome	As no gene set of the gut microbiome had been previously established for SD rat, here we describe the BGISEQ-500-based metagenomic sequencing, assembly and characterization of 5.3 million non-redundant microbial genes, derived from 651.2 Gb of single-end sequence and 611 Gb of paired-end sequence, from ninety-eight fecal samples were collected from 7 individual groups at 2 different time points (Day 0 and Day 30). Maybe it limits coverage of global microbiome diversity of Rat, but it is a first gene catalogue of Rat of strain Sprague-Dawley which is a good animal model for arthritis research
PRJEB23010	RLBUHT_Cdiff	Clostridium difficile is the leading cause of healthcare-associated infectious diarrhoea. C. difficile infection (CDI) is mainly associated with the disruption in gut microbiota caused by excessive use of antibiotics. To understand the dynamics of gut microbes during and after CDI, we collected human faecal samples from symptomatic patients of a single hospital and compared the microbiota compostion of symptomatic patients with the microbiota composition of different controls.
PRJEB23147	Human_colon_16S	Cutting-edge transcriptional and bioinformatics approaches will be implemented to assess immune cells at three sites along the healthy adult human colon. Sections will be taken from four sites of the GI tract- caecum, transverse colon, sigmoid colon and oesophagus. These samples will be collected from cadaveric donors by the Cambridge Biorepository of Translational Medicine (CBTM) that are representative of healthy tissues since the donors are screened for infections and disease prior to their consideration for donation. Furthermore, medical history of these donors will be available, providing unique accessory information. The sampling technique will involve incision into the wall of the colon. The mucosa will then be pull through this incision and approximately 2cm x 2cm section of the full thickness of mucosa sampled. The majority of immune cells reside in the lamina propria of the mucosa (Figure 2). Some tissue will be frozen and the remaining digested for single-cell RNA sequencing of immune cells and stromal cells. A swab of the mucosa and the luminal chyme (where appropriate) will also be collected by microbiology culture swabs (in culture gels) and with swabs in PBS. With the help from Professor Trevor Lawley, the diversity of the microbiome will be determined by 16S rRNA sequencing. From these results, changes in diversity of the microbiota and whether this correspond with changes in immune cell heterogeneity will be investigated. If I find major differences in the immune cells or bacteria at these sites than I will ask for more samples to be collect from the next individual.
PRJEB23561	A catalog of microbial genes from the bovine rumen reveals the determinants of herbivory	The rumen microbiome is responsible for the unique nature of ruminants. A thorough knowledge of the genetic potential of rumen symbiotic microbes is therefore crucial for the sustainability of ruminant production systems. Using deep metagenome sequencing we identified 13,825,880 non-redundant prokaryote genes from the bovine rumen and constructed 324 high quality metagenomic species. These metagenomic species were prevalent in the rumen of 77 cattle fed various diets whereas known rumen microbial genomes were less abundant. Compared to human, pig and mouse gut metagenome catalogs, the rumen is richer in functions and microbial species associated to the degradation of lignocellulosic material and production of methane. Genes coding for enzymes that deconstruct lignocellulosic substrates showed a particularly high richness that is otherwise impossible to infer from available genomes or shallow metagenomics sequencing. These data bring new insights on functions, enzymes and microbes of the rumen, critical to understand phenotypes and biological processes.
PRJEB23642	Metagenomic analysis of the minke whale (Balaenoptera acutorostrata) gut microbiome	No maximum limits (ML) for e.g. PCB or Hg in whale products exists in Europe, possibly due to the embargo on whale products by the EU in the beginning of the 80âs. European and Norwegian ML for PCB6 in marine oils, which may be used as a proxy indicator ML for blubber, is 0.2 mg/kg fat, and the ML for Hg is 0.5 mg/kg wet weight for fillets of most fish. Norwegian whale is legally exported to other whale hunting nations like Japan, which have ML for both Hg and total PCB, which are 0.4 mg/kg and 0.5 mg/kg, respectively. Microbes are central players in geochemical cycles, including cycling of metals and other elements, which may affect seafood safety by e.g. by mercury methylation. Microbial analyses of intestinal microbiota may reveal the potential for transformation/methylation of mercury (Hg) to methyl mercury (MeHg).
PRJEB24006	Neonatal gut-microbiome-derived 12,13 DiHOME impedes tolerance and predicts childhood atopy and asthma	Neonates at heightened risk of childhood atopy and asthma are characterized by inter-kingdom perturbation of their gut microbiota and metabolic dysfunction that includes fecal enrichment of the linoleic acid metabolite, 12,13 DiHOME1. Treatment of human dendritic cells (DCs) with this oxylipin decreased IL-10, altered expression of peroxisome-proliferator-activated-receptor-Î³ (PPARÎ³)-regulated genes, and decreased regulatory T cell (Tregs) frequency ex vivo. Mice treated with 12,13 DiHOME and subjected to a model of airway allergic sensitization had exacerbated pulmonary inflammation and decreased lung Tregs. Fecal metagenomic sequencing from neonates who developed atopy and/or asthma revealed a significant increase in bacterial epoxide hydrolase (EH) genes. Three of these bacterial EHs can produce 12,13 DiHOME in vitro. The abundance of fecal oxylipins and bacterial EH genes in neonatal stool can be combined with known early-life risk factors to predict neonatal risk of atopy at age two and asthma at age four.
PRJEB24041	Selective maternal seeding and environment shape the human gut microbiome	Vertical transmission of bacteria from mother to infant at birth is assumed to initiate a life-long host-microbe symbiosis. Maternal bacteria are expected to seed the infant intestine and thus play an important role in early development. However, only tracking of strictly defined microbial strains can clarify where the intestinal bacteria come from, how long the initial colonisers persist and whether colonisation by other strains from the environment can replace existing ones. Using rare single nucleotide variants in faecal metagenomes of infants and their family members, we show strong evidence of selective and persistent transmission of maternal strain populations to the vaginally born infant, and their occasional replacement by strains from the environment, including those from family members, in later childhood. Only strains from the classes Actinobacteria and Bacteroidia, which are essential components of the infant microbiome, are transmitted from the mother and persist for at least one year. In contrast, maternal strains of Clostridia, a dominant class in the motherâs gut microbiome, are not observed in the infant. Instead, Clostridia strains are recruited from the environment early on, and fail to colonise persistently until after the first year. Caesarean-born infants showed a striking lack of maternal transmission at birth. For all children analysed, strain influx from the family environment was observed, peaking after the first year. Furthermore, even in adulthood strain sharing between family members, including spouses and siblings, is more common than between unrelated individuals. This suggests that re-colonisation occurs in adulthood. When studying families, fathers appear to be more frequently donors of novel strains to other family members than receivers. Taken together, after selective maternal seeding of the infant gut, species from the environment are recruited, with a rare but continuing strain influx over time.
PRJEB25514	A cross-sectional study of compositional and functional profiles of gut microbiota in Sardinian centenarians	Abstract Sardinia, Italy, has a high prevalence of residents who live over 100 years. The reasons for longevity in this isolated region is currently unknown. Gut microbiota may hold a clue. To explore the role gut microbiota may play in healthy aging and longevity, we used metagenomic sequencing to determine the compositional and functional differences in gut microbiota associated with populations of different ages in Sardinia. Our data revealed that the gut microbiota of both young and elderly Sardinians shared similar taxonomic and functional profiles. A different pattern was found in centenarians. Within the centenarian group, the gut microbiota was correlated with the Functional Independence Measurement of the host. Centenarians had a higher diversity of core microbiota species and microbial genes compared with that in the young and elderly. We found that the gut microbiota in Sardinian centenarians displayed a rearranged taxonomic pattern when compared with these of the young and elderly, featured by depletion of Faecalibacterium prausnitzii and Eubacterium rectale, and enriched for Methanobrevibacter smithii and Bifidobacterium adolescentis. Moreover, functional analysis revealed the microbiota in centenarians had high capacity for central metabolism, especially glycolysis and fermentation to Short-Chain Fatty Acids (SCFAs), although the gut microbiota in centenarians was low in degradation of carbohydrates including fibers and galactose. The gut microbiota has been proposed as a promising determinant for human health. Centenarians as a model for extreme aging may help to understand the correlation of gut microbiota with healthy aging and longevity. Here we confirmed that centenarians had microbiota elements usually associated with benefits to health. Our finding of a high capacity of glycolysis and related SCFAs production represented a healthy microbiome and environment that is regarded as beneficial for host gut epithelium. The low abundance of pathways involved in carbohydrate degradation was also found in the gut microbiota of Sardinian centenarians and is often associated with poor gut health. Overall, our study here represents an expansion of previous research investigating the age-related changes in gut microbiota. Furthermore, our study provides a new prospective for potential targets for gut microbiota intervention directed at limiting gut inflammation and pathology and enhancing a healthy gut barrier.
PRJEB26512	Identifying determinants of bacterial fitness in a model of human gut microbial succession	Human gut microbiota development has been associated with healthy growth but understanding the determinants of community assembly and composition is a formidable challenge. We cultured bacteria from serially-collected fecal samples from a healthy infant 34 sequenced strains containing 103,102 genes were divided into two consortia representing earlier and later stages in community assembly during the first 6 postnatal months. The two consortia were introduced alone (singly), or sequentially in different order, or simultaneously into young germ-free mice fed human infant formula. The pattern of fitness of bacterial strains observed across the different colonization conditions indicated that later phase strains substantially out-compete earlier phase strains, although four early phase members persist. Persistence was not determined by order of introduction, suggesting that priority effects are not prominent in this model. To characterize succession in the context of the metabolic potential of consortium members, we performed in silico reconstructions of metabolic pathways involved in utilization of mono-, di- and oligosaccharides, and amino acid and B-vitamin biosynthesis, then quantified the fitness (abundance) of strains in serially-collected fecal samples, their transcriptional responses to different histories of colonization. Applying feature-reduction methods disclosed a set of metabolic pathways whose presence and/or expression correlates with strain fitness and that enable early stage colonizers to survive during introduction of later colonizers. In principle, the approach described can be used to study various ecological processes that govern gut community assembly and to facilitate development of microbiota-directed therapeutics.
PRJEB26564	Interspecies competition impacts targeted manipulation of human gut bacteria by fiber-derived glycans	Development of microbiota-directed foods (MDFs) that selectively increase the abundance of beneficial human gut microbes, and their expressed functions, requires knowledge of both the bioactive components of MDFs and the mechanisms underlying microbe-microbe interactions. Here, gnotobiotic mice were colonized with a defined consortium of human-gut-derived bacterial strains and fed different combinations of 34 food-grade fibers added to a representative low-fiber diet consumed in the USA. Bioactive carbohydrates in fiber preparations targeting particular Bacteroides species were identified using community-wide quantitative proteomic analyses of bacterial gene expression coupled with forward genetic screens. Deliberate manipulation of community membership combined with administration of retrievable artificial food particles, consisting of paramagnetic microscopic beads coated with dietary polysaccharides, disclosed the contributions of targeted species to fiber degradation. Our approach, including the use of bead-based biosensors, defines nutrient harvesting strategies that underlie, as well as alleviate, competition between Bacteroides and control the selectivity of MDF components.
PRJEB26585	Antibiotic-induced acceleration of Type 1 diabetes alters intestinal innate pathway maturation	The early-life intestinal microbiota plays a key role in shaping host immune system development. We found that a single early-life antibiotic course (1PAT) accelerated Type 1 diabetes (T1D) development in male NOD mice. The single course had strong and persistent effects on the intestinal microbiome, selecting for a highly metabolically active metagenome, with altered hepatic and serum metabolites. The exposure led to differential ileal and hepatic histone modification, and perturbed ileal gene expression, strongly affecting the normal maturational pattern. Earliest effects involved specific genes in innate immune pathways, with later effects on adaptive immunity. Microbiome analysis revealed four potential T1D-protective taxa and four T1D-accelerating taxa, and a network linking specific microbial taxa to differences in ileal gene expression was identified. This simplified animal model has improved understanding of the mechanisms by which early-life gut microbiome perturbations alter host intestinal responses, contributing to T1D.
PRJEB26961	VETII samples	The samples relate to the Danish VETII project regarding the relationship between antimicrobial usage in finishing pigs and antimicrobial resistance in their gut microbiome. Five different sub-projects are included 1. Pilot project containing 10 farms (P), 2. Observational project containing 83 farms, 3. Rearing time related longitudinal study in 6 of the 83 farms, thus both weaners (W) and finishing pigs were sampled in those farms. 4. 2x2 split (A,B) sampling project in 4 of the 83 farms, and 5. Production cycle longitudinal study in 52 of the 83 farms, thus the second sampling was performed two finishing pig production cycles after the first sampling. Sampling took place from Marts 2014 to July 2016. Each faeces sample from a farm consists of 30 individual pig faeces samples pooled into one.
PRJEB27498	Closely related Photobacterium strains comprise the majority of bacteria in the gut of migrating Atlantic cod (Gadus morhua)	The population of Atlantic cod (Gadus morhua), also known as Northeast Arctic cod, migrating Atlantic cod or simply âskreiâ, lives mainly in the Barents Sea and Svalbard waters, and migrates in annual cycles to the Norwegian coast in order to spawn eggs during late winter. It is the worldâs largest population of Atlantic cod, and the population is distinct from the Norwegian coastal cod (or âfjordâ cod). Despite the biological, economic and cultural importance of migrating Atlantic cod, current knowledge on the associated microbiota is very limited. Using shotgun metagenomics and metaproteomics approaches, we present here the gut microbiota, metagenome-assembled genomes (MAGs) of the most abundant bacterial species, DNA-based functional profile, and the metaproteome of Atlantic cod specimens caught at a spawning area in open ocean outside of TromsÃ¸, Norway. Our analyses identified 268 bacterial families in DNA isolated from feces of six individual migrating Atlantic cod. The most abundant family was Vibrionaceae (52% 83% if unclassified reads are excluded), with Photobacterium (genus) representing the vast majority. The recovery of metagenome-assembled genomes provided further details, and suggests that several closely related Photobacterium strains from the P. phosphoreum clade are most abundant. A genomic-based functional profiling showed that the most abundant functional subsystems are âCarbohydratesâ, âAmino Acids and Derivativesâ, âProtein Metabolismâ, âCofactors, Vitamins, Prosthetic, Groups, Pigmentsâ and âDNA Metabolismâ, which is in agreement with other studies of gut microbiomes of marine organisms. Finally, the MS-based metaproteomic dataset revealed that the functional category âProtein Metabolismâ is highly overrepresented (3Ã) when compared to the genome-based functional profile, which shows that ribosomal proteins are rich in the bacterial cytosol. We present here the first study of bacterial diversity of the gut of migrating Atlantic cod using shotgun sequencing and metagenome-assembled genomes (MAGs). The most abundant bacteria belong to the Photobacterium genus (Vibrionaceae family). We also constructed functional profiles of the gut microbiome. These may be used in future studies as a platform for mining of commercially interesting cold-active enzymes.
PRJEB2778	Mutualism between gut microbiota and the host as revealed in a comparative study of breast-fed versus formula-fed infants.	Ongoing efforts are directed at understanding the mutualism between the gut microbiota and the host in breast-fed versus formula-fed infants. Due to the lack of tissue biopsies, no investigators have performed a global transcriptional analysis of the developing intestine in healthy infants. As a result, the crosstalk between the microbiome and the host transcriptome in the developing mucosal-commensal environment has not been determined. In this study, we examined the host intestinal mRNA gene expression and microbial DNA profiles in full term 3 month-old infants exclusively formula fed (FF n=6) or breast fed (BF n=6) from birth to 3 months. Host mRNA microarray measurements were performed on intact sloughed epithelial cells in stool samples collected at 3 months. Microbial composition from the same stool samples was assessed by metagenomic pyrosequencing. Both host mRNA expression and bacterial microbiome phylogenetic profiles provided strong feature sets that classified the two groups of babies (FF and BF). To determine the relationship between epithelial cell gene expression and the bacterial colony profiles, the host transcriptome and functionally profiled microbiome data were analyzed in a multivariate manner. From a functional perspective, analysis of the gut microbiota's metagenome revealed that virulence characteristics differed between the FF and BF babies. Using canonical correlation analysis, evidence of multivariate structure relating eleven host immunity/mucosal defense-related genes and microbiome virulence characteristics was observed. These results, for the first time, provide insight into the integrated responses of the host and microbiome to dietary substrates in the early neonatal period.
PRJEB28161	TNBS mice metagenomics	15 TNBS mice metagenomics samples
PRJEB28237	Culture-enriched human gut microbiomes reveal core and accessory resistance genes	In this study, we used culture enrichment of stools to reveal lower abundance bacteria by high-throughput sequencing. We sequenced fecal bacteria growing under four culture conditions from 24 individuals, before and after use of antibiotics (day 0 and day 7). Overall, 187 species of bacteria had an assembly size greater than 1 million nucleotides, 67 species achieved it only under culture conditions and 22 only in culture-independent fecal microbiomes.The four culture conditions are : (i) MCDA maximum enrichment broth anaerobic culture (MEB-ANA)(ii) MCDA maximum enrichment broth aerobic culture (air enriched with 5% CO2) (MEB-CO2), (iii) MCDA anaerobic culture in presence of 32Âµg/ml cefoxitin (FOX-ANA)(iv) MCDA aerobic (with 5% CO2) culture in presence of 32Âµg/ml cefoxitin (FOX-CO2)
PRJEB29127	A causal role of the gut microbiome in schizophrenia	The gut-brain axis has been enthusiastically discussed in recent years. Gut bacteria are known to promote serotonin biosynthesis from colonic enterochromaffin cells1. Germ-free mice are also known to have impaired blood-brain barrier, which could be rescued by short-chain fatty acids2. However, there has been little evidence from human studies, not to mention a study that combined human cohorts with animal models. Here we provide metagenomic shotgun sequencing data for a typical psychiatric disease, schizophrenia, for which tens of thousands of samples have been characterized in genome-association studies (GWAS). Metagenome-wide association studies (MWAS) identified bacteria that differ between patients and controls, which was partially recapitulated in mice transplanted with the human faeces. We show that the schizophrenic gut microbiome was causally responsible for core symptoms such as psychomotor hyperactivity and impaired learning and memory, whereas non-specific symptoms such as anxiety were lost in the mice model. Our findings pave the road for better diagnosis as well as mechanistic understandings of this devastating disease.
PRJEB29152	CaPES	Patient infected with carbapenem resistant bacteria
PRJEB29232	Gut microbiome community structure correlates with different behavioral phenotypes in the Belyaev farm-fox experiment	Domestication represents one of the largest biological shifts of life on Earth, and for many animal species, behavioral selection is thought to facilitate early stages of the process. The gut microbiome of animals can respond to environmental changes and have diverse and powerful effects on host behavior. As such, we hypothesize that selection for tame behavior during early domestication, may have indirectly selected on certain gut microbiota that contribute to the behavioral plasticity necessary to adapt to the new social environment. Here, we explore the gut microbiome of foxes from the tame and aggressive strains of the âRussian-Farm-Fox-Experimentâ. Microbiota profiles revealed a significant depletion of bacteria in the tame fox population that have been associated with aggressive and fear-related behaviors in other mammals. Our metagenomic survey allowed for the reconstruction of microbial pathways enriched in the gut of tame foxes, such as glutamate degradation, which converged with host genetic and physiological signals, revealing a potential role of functional host-microbiota interactions that could influence behaviors associated with domestication. Overall, by characterizing how compositional and functional potential of the gut microbiota and host behaviors co-vary during early animal domestication, we provide further insight into our mechanistic understanding of this adaptive, eco-evolutionary process.
PRJEB29346	Metagenomic shotgun sequencing of the Atlantic cod intestinal microbiome	Metagenomic shotgun sequencing of the Atlantic cod intestinal microbiome
PRJEB29373	Metagenomics wide association studies on multi-autoimmune diseases.( F16HTSNCWLJ1153-F16FTSNCWLJ0140)	"Public descriptionï¼ Ankylosing spondylitis (AS) is a common autoimmune disease. Due to the early pathogenesis and long duration, patients suffer from morning stiffness, low back pain, chest pain, alternating hip pain and other symptoms. And the disability rate is high, which seriously affects the quality of life. According to statistics, the prevalence of ankylosing spondylitis in China is about 0.3%, mostly young men. On average, patients need to stop working after fifteen or six years of illness. After 20 years of illness, more than 85% of patients lose the ability to live independently and become so-called ""puppet people."" In response to key scientific issues, these datas is devoted to the use a metagenomic wide association studies to explore new key biomarkers and therapeutic targets of AS from intestinal micro-organisms, so as to improve early diagnosis, accurate prediction and classification, and improve prognosis.And combine with other datas which already published of autoimmune disease,we identified conflicts and contradicts points of RA ,AS ,behcet disease and T1D."
PRJEB30661	TO INVESTIGATE THE MICROBIAL COMMUNITY ASSOCIATED WITH FISH GUT	HIGH-THROUGHPUT SEQUENCING BASED ANALYSIS OF MICROBIAL COMMUNITY ASSOCIATED WITH THE GUT OF THE FISH Tor putitora
PRJEB30834	Human fecal metagenomes of individuals sampled along a small-scale urbanization gradient in Cameroon	Fecal metagenomes were obtained from healthy adults along a small scale (cca 50 km) urbanization gradient in Cameroon: in an urban (Yaounde), semirural(Mbalmayo) and rural area (Ngoantet). Along with the sequencing data, a range of medical, ethnographical, medical, parasitological, sanitary and biometric data were collected in order to elucidate the factors that shape diversity and composition of fecal microbiota in lowly industrialized settings and identify changes that follow urbanization.
PRJEB31009	Probiotic Plant Fermentation Extracts Intervention Causes Weight Loss in Obese Patients by Increasing Microbiota-associated Metabolites that Boost Thermogenesis	We carried out an intervention study on six obesity patients using a traditional PFE for 4 weeks. Significant weight losses were observed on all subjects after intervention. Fecal microbial metagenomic sequencing and metabolomics profiling were performed before and after the intervention, by which we identified several coordinated changes on the gut microbial community and metabolites probably responsible for the cause of weight loss
PRJEB31051	Unravelling transmission, assemblage and functions of the gut microbiota of Blattella germanica by treatment with the antibiotics vancomycin and ampicillin	In this experiment, the effect of the antibiotics vancomycin and ampicillin on the intestinal microbiota in Blattella germanica, specifically its transmission, assembly and functions, was studied using a metagenomic analysis. The adult females were treated with vancomycin or ampicillin during the adult phase in the first generation. Individuals derived from these in the second generation for each treatment with antibiotics were 1) treated with the same antibiotic but starting in the nymphal period, 2) not treated with the antibiotic, or 3) not treated with the antibiotic but supplied with feces from a population control. Samples of nymphs and adult females were taken through the two generations for each experiment. After the dissection of insects, the DNA was extracted from the hindgut and the composition and functions of the microbiota were analyzed by metagenomics.
PRJEB31266	Metagenomic sequencing of the rumen of 240 cattle from Scotland	Ruminants provide essential nutrition for billions of people worldwide. The rumen is a specialised stomach adapted to the breakdown of plant-derived complex polysaccharides, and collectively the rumen microbiota encode the thousands of enzymes responsible. Here we present a comprehensive analysis of over 6.5 terabytes of Illumina and Nanopore sequence data, including assembly of 4941 metagenome-assembled genomes, and several single-contig, whole-chromosome assemblies of novel rumen bacteria. We also present the largest dataset of predicted proteins from the rumen, and provide rich annotation against public datasets. Together these data will form an essential part of future studies of rumen microbiome structure and function.
PRJEB31650	Metagenomic assessment of the effect of sample processing on different microbiomes	Based on 4 samples processed differently (Pig feces 1 & 2 (P1 & P2) Sewage 1 & 2 (S1 & S2)), storage conditions (Time 0h, 16h, 64h Temperature (-80C, -20C, 5C, 22C)), sequencing platform (FTX=Freeze thawing, HX=Nextflex Hiseq, LTSX=Kappa Hiseq, NX1NS=Nextera Nextseq, NX2NS=Nextera Nextseq, NFNS=Nextflex Nextseq). Sample names containing HHKTMBBXX are resequenced samples. Sample names containing MC are spiked with a mock community. Sample names containing EC, ECPBS and pureMC, are negative DNA extraction controls, negative controls containing PBS and postive controls of the mock community used to spike with, respectively. The a, b and c are indicators of replicate number.
PRJEB31742	The pig gut microbiome and antibiotic resistome in industrialized feedlots in China	To characterize the diversity and richness and explore the function and structure of swine gut microbiome and resistome in common pig-farming feedlots, we sampled and metagenomic sequenced the feces of pigs from several different industrialized feedlots located in distant provinces across China.
PRJEB32496	Animal gut microbiome	Whole metagenomic sequencing for animal(pig&cattle) gut microbiome.
PRJEB32631	Early_life_microbiota_colonisation	Study to investigate how early microbe exposure and the developing immune system influence subsequent health and developmental outcomes. This data is part of a pre-publication release. For information on the proper use of pre-publication data shared by the Wellcome Trust Sanger Institute (including details of any publication moratoria), please see http://www.sanger.ac.uk/datasharing/
PRJEB32644	A protein modification introduced by food processing drives growth of a human gut bacterium	Dramatic increases in processed food consumption represent a global health threat. Maillard reaction products (MRPs), which are common in processed foods, form upon heat-induced reaction of amino acids with reducing sugars and include advanced glycation end products with deleterious health effects. To examine how processed foods impact the microbiota, we fed gnotobiotic mice, colonized with 54 phylogenetically-diverse human gut bacterial strains, defined sugar-rich diets containing whey as the protein source or a matched amino acid mixture. Whey or ï¥-fructoselysine, an MRP in whey and many processed foods, selectively increases Collinsella intestinalis absolute abundance and induces Collinsella expression of genomic loci directing import and metabolism of ï¥-fructoselysine to innocuous products. This locus is repressed by glucose in C. aerofaciens, whose abundance decreases with whey, but is not repressed in C. intestinalis. Identifying gut organisms responding to and degrading potentially harmful processed food components has implications for food science, microbiome science and public health.
PRJEB32834	Microbiome_based_prediction_of_vaccine_response_in_elderly_patients	The worldâs population is aging, with dramatic rises predicted in the coming decades, thus a healthy aged population is a major public health priority. However, the immune system declines with increasing age leading to increased susceptibility to infectious diseases, and suboptimal responses to vaccines, although this area remains poorly researched and the mechanisms are not understood. This project investigates the effects of DTP and influenza vaccination on the immune systems and compares the immune responses and vaccine efficacy between middle aged (30 â 50) and older (>70) participants. This project has applied state-of-the-art immunological methods to investigate the immune response to these two vaccines to determine how they modulate the immune system in the elderly and how they interact. In addition to immunological measurements, 64 faecal samples have been collected prior to vaccine delivery and 6-weeks post vaccination. Sample have been stored and DNA extracted according to the standardised processes and will enable investigation of the microbiome. This data is part of a pre-publication release. For information on the proper use of pre-publication data shared by the Wellcome Trust Sanger Institute (including details of any publication moratoria), please see http://www.sanger.ac.uk/datasharing/
PRJEB33219	Microbial changes in early pancreatic cancer progression	Pancreatic cancer is among the deadliest cancers that affects almost 54,000 patients in United States alone, with 90% of them succumbing to the disease. Lack of early detection is considered to be the foremost reason for such dismal survival rates. Our study shows that resident gut microbiota is altered at the early stages of tumorigenesis much before development of observable tumors in a spontaneous, genetically engineered mouse model for pancreatic cancer. In the current study, we analyzed the microbiome of in a genetic mouse model for PDAC (KRASG12DTP53R172HPdxCre or KPC) and age-matched controls using WGS at very early time points of tumorigenesis. During these time points, the KPC mice do not show any detectable tumors in their pancreas. Our results show that at these early time points, the histological changes in the pancreas correspond to a significant change in certain gut microbial population. Our predictive metabolomic analysis on the identified bacterial species reveal that the primary microbial metabolites involved in progression and development of PDAC tumors are involved in polyamine metabolism.
PRJEB33338	Metagenomics of chicken cecal contents from fast and slower growing birds	We sequenced DNA from cecal contents samples taken from 24 chickens belonging to either a fast or slower growing breed consuming either a vegetable-only diet or a diet containing fish meal. We utilised 1.6T of Illumina data to construct 469 draft metagenome-assembled bacterial genomes, including 460 novel strains, 283 novel species and 42 novel genera.
PRJEB33500	Mediterranean diet intervention in overweight and obese subjects leads to multiple beneficial shifts in gut microbiome and metabolome independently from energy intake	ObjectivesEpidemiological studies show that Mediterranean diet (MD) has multiple benefits in the prevention of different types of disease. Consequences of a MD intervention on the overall metabolic and microbiome responses in subjects at risk of metabolic diseases are still underinvestigated. We aimed at unvealing the effects of a personalized isocaloric MD intervention in overweight and obese subjects with unhealthy dietary habits and lifestyle.DesignEighty-two healthy overweight and obese subjects with habitual low intake of fruit and vegetables and sedentary lifestyle participated in a parallel 8 week-randomized controlled trial. Forty-three participants received a MD, tailored to their habitual energy intakes, and 39 maintained their habitual diets. Blood, urine and faecal samples along with dietary information and anthropometric measures were collected over the study period to monitor dietary changes, several metabolic parameters and the gut microbiome.ResultsMD subjects significantly increased their adherence to MD. Daily intakes of vegetal food products, providing dietary fiber, vegetable proteins and polyunsaturated fatty acids, dramatically increased while foods of animal origin were reduced. Adherence was confirmed by diet-driven metabolome shifts including reductions of plasma and urinary levels of carnitine, and led to reduction of total plasma cholesterol, total and secondary faecal bile acids. Gut microbiome also changed, for which variations of gene richness and inflammation were found anticorrelated and for which levels of fibre degrading Faecalibacterium prausnitzii increased, escorted by microbial functions linked to butyrate metabolism. Moreover, consistent links were highlighted among urolithin production, bile acids degradation and insulin sensitivity with specific microbial species and dietary patterns.ConclusionMD drives multiple shifts in gut microbiome and metabolome independently from energy intake.
