study_accession	discrepancy_flags	discrepancy_host	discrepancy_host_missing	discrepancy_gut	discrepancy_multihost	discrepancy_notes	paper_title	host_species
PRJEB15371	host_missing		paper names: human (inflammatory bowel disease patients); deposit blank/generic			The paper describes a human IBD microbiome meta-analysis, but the deposit host field is absent—a metadata gap rather than a direct conflict.	A meta-analysis of the gut microbiome in inflammatory bowel disease patients identifies disease-associated small molecules.	
PRJEB33577	host_missing		paper names: human and canine (dog); deposit blank/generic			Host species (human and canine) are named in the paper but the deposit host field is empty, indicating a host_missing metadata gap.	CoproID predicts the source of coprolites and paleofeces using microbiome composition and host DNA content.	
PRJEB21624	host_missing		paper names: bovine (cattle rumen); deposit blank/generic			Host metadata is missing from the ENA deposit despite the paper's clear focus on bovine rumen microbiota.	A catalog of microbial genes from the bovine rumen unveils a specialized and diverse biomass-degrading environment.	
PRJEB15296	host_missing		paper names: neonatal piglets (Sus scrofa); deposit blank/generic			Host missing: the paper clearly studies neonatal piglets but the ENA deposit contains no host information.	Structure and Function of the Fecal Microbiota in Diarrheic Neonatal Piglets.	
PRJEB1220	host_missing		paper names: homeothermic animals (guts of homeothermic animals); deposit blank/generic			Host identity is missing from the deposit metadata while the paper clearly identifies samples from homeothermic animal guts.	Genomic characterization of the uncultured Bacteroidales family S24-7 inhabiting the guts of homeothermic animals.	
PRJEB15095	host_missing		paper names: Mouse (implied by context: intestinal inflammation study with animal model methodology and author affiliations); deposit blank/generic			Host organism is missing from the deposit metadata; the paper describes an animal model study of inflammation-associated dysbiosis, but the deposit host field is blank.	Microbial Respiration and Formate Oxidation as Metabolic Signatures of Inflammation-Associated Dysbiosis.	
PRJNA772888	host_mismatch; multihost_issue	paper: Eurasian otters (Lutra lutra) and leopard cats (Prionailurus bengalensis) vs deposit: Prionailurus bengalensis			Paper abstract and title explicitly name two distinct host species (Eurasian otters Lutra lutra and leopard cats Prionailurus bengalensis) as subjects of the same study, but deposit host field contains only Prionailurus bengalensis. Sample-level deposit metadata fields are empty, preventing explicit verification, but the mismatch between paper's dual-host framing and deposit's single-host listing indicates incomplete metadata.	The paper investigates fecal samples from two distinct wildlife hosts (Eurasian otters and leopard cats), but the deposit host field records only Prionailurus bengalensis, missing the second host species entirely.	The host-specific resistome in environmental feces of Eurasian otters (Lutra lutra) and leopard cats (Prionailurus bengalensis) revealed by metagenomic sequencing.	Prionailurus bengalensis
PRJEB6997	gut_sample_issue			Deposit host field explicitly states 'human oral metagenome', which is an oral/mouth sample site, not a gut sample.		The deposit indicates 'human oral metagenome' but the paper describes a gut microbiota study; this is a genuine body-site mismatch (oral vs. gut) that warrants flagging.	Alternation of the gut microbiota in metabolically healthy obesity: An integrated multiomics analysis.	human oral metagenome
PRJNA1254096	multihost_issue				Paper abstract explicitly names three indigenous fish species: Schizothorax biddulphi (SB), Diptychus maculatus (DM), and Triplophysa yarkandensis (TY), each with distinct biomarkers and profiles. Deposit host field lists only Diptychus maculatus.	The deposit host field lists only Diptychus maculatus, but the paper investigates three distinct indigenous fish species (Schizothorax biddulphi, Diptychus maculatus, Triplophysa yarkandensis) with species-specific findings, constituting a multihost_issue.	Shotgun metagenomics analysis of gut microbiota of three indigenous fish species from the Kizil River, Xinjiang.	Diptychus maculatus
PRJNA1063657	host_mismatch	paper: Larus relictus (Relict Gull) and Anatidae species (waterfowl/ducks) vs deposit: Escherichia coli				Critical host mismatch: paper studies wild bird gut microbiota (Larus relictus and Anatidae), but deposit lists Escherichia coli as the host organism.	Metagenomic and Antibiotic Resistance Analysis of the Gut Microbiota in <i>Larus relictus</i> and <i>Anatidae</i> Species Inhabiting the Honghaizi Wetland of Ordos, Inner Mongolia, from 2021 to 2023.	Escherichia coli
PRJEB50568	host_missing		paper names: children (humans); deposit blank/generic			Host missing: deposit lacks host metadata (should record 'Homo sapiens') despite paper's clear focus on children's faecal samples.	Evaluation of changes in the faecal resistome associated with children's exposure to domestic animals and food animal production.	
PRJNA559605	multihost_issue				Paper explicitly states samples from three distinct Panthera species (lion, leopard, tiger); deposit host field lists only Panthera tigris tigris.	The deposit's host field captures only Panthera tigris, but the paper explicitly compares gut microbiomes across three distinct Panthera species (lion, leopard, tiger), indicating incomplete host documentation in the deposit for a multi-host comparative study.	The Gene Catalog and Comparative Analysis of Gut Microbiome of Big Cats Provide New Insights on <i>Panthera</i> Species.	Panthera tigris tigris
PRJEB20308	host_missing; multihost_issue		paper names: human (Homo sapiens); deposit blank/generic		Paper explicitly compares 'dog and human gut microbiomes' but deposit host field lists only Canis lupus familiaris. Deposit sample-level metadata is empty, preventing verification of distinct host species labeling, but the paper's comparative design implies multiple host species were sampled.	Human host is missing from deposit metadata despite explicit presence in paper's comparative analysis of dog and human microbiomes.	Similarity of the dog and human gut microbiomes in gene content and response to diet.	Canis lupus familiaris
PRJEB7759	host_missing		paper names: homeothermic animals (guts of multiple homeothermic animal species implied); deposit blank/generic			host_missing flagged: paper clearly describes gut samples from homeothermic animals but deposit host field is blank, representing a metadata gap.	Genomic characterization of the uncultured Bacteroidales family S24-7 inhabiting the guts of homeothermic animals.	
PRJNA422434	host_missing		paper names: Human (Type 2 diabetes patients across populations); deposit blank/generic			Host is missing from deposit metadata: the paper describes human Type 2 diabetes patients but the deposit host field is blank.	Changes in the Type 2 diabetes gut mycobiome associate with metformin treatment across populations.	
PRJNA1320939	host_missing		paper names: lactating sows (Sus scrofa); deposit blank/generic			Host is missing from the ENA deposit metadata despite being clearly identified in the paper as lactating sows.	Data-driven enterosignatures link gut microbiome reorganization to heat stress responses in lactating sows.	
PRJNA804100	host_mismatch; multihost_issue	paper: Lampsilis cardium (freshwater mussel) AND Micropterus salmoides (host fish) vs deposit: Micropterus salmoides only			Paper abstract explicitly names two distinct host organisms: Lampsilis cardium (mussel) and Micropterus salmoides (fish). These are sampled in the same study with comparative microbiota analysis. Deposit lists only one host species.	The deposit metadata is incomplete: it captures only Micropterus salmoides but the paper explicitly studied and sampled gut microbiota from both M. salmoides and Lampsilis cardium, with L. cardium being a primary focus for microbiota analysis results.	Freshwater mussels and host fish gut microbe community composition shifts after agricultural contaminant exposure.	Micropterus salmoides
PRJEB41102	host_missing		paper names: human; deposit blank/generic			Paper describes human gut bacteria but deposit host field is missing—a metadata gap requiring attention.	Dispersal strategies shape persistence and evolution of human gut bacteria.	
PRJEB24006	host_missing		paper names: human neonates; deposit blank/generic			The paper studies human neonatal faecal microbiota, but the deposit lacks host metadata, resulting in a host_missing flag only.	Elevated faecal 12,13-diHOME concentration in neonates at high risk for asthma is produced by gut bacteria and impedes immune tolerance.	
PRJNA1269239	multihost_issue				Sample titles explicitly list 'Mallard' and 'Shaoxing duck' as distinct sample groups. Deposit sample-level metadata differentiates two species.	The study explicitly compares two duck species (Mallard and Shaoxing duck), which is properly reflected in both the paper and deposit metadata; this is the intended experimental design, not a data-quality error.	Multi-omics reveals gut microbiota-mediated environmental adaptation in Mallards and domesticated Shaoxing ducks.	Duck
PRJNA1158959	multihost_issue				Deposit explicitly lists 4 distinct Sus scrofa subspecies: Sus scrofa vittatus, Sus scrofa cristatus, Sus scrofa leucomystax, and Sus scrofa (unspecified). Paper title and abstract present this as a single comparative study of wild vs domesticated Sus without clearly breaking down individual subspecies as separate cohorts.	Deposit contains samples from 4 distinct Sus scrofa subspecies (vittatus, cristatus, leucomystax, plus unspecified scrofa), whereas the paper presents the analysis as a simple wild vs domesticated comparison without explicitly detailing the multiple subspecies composition.	Metagenomic insights into the global wild boar faecal microbiome reveal novel taxa and carbohydrate degraders distinguishing wild and domesticated Sus.	Sus scrofa vittatus
PRJNA945365	host_mismatch	paper: grass carp vs deposit: Micropterus salmoides				Critical host mismatch: paper studies grass carp but deposit samples are from largemouth bass (Micropterus salmoides).	Deciphering the gut microbiome of grass carp through multi-omics approach.	Micropterus salmoides
PRJEB4391	host_missing		paper names: kittens (feline); deposit blank/generic			Host metadata is missing from the ENA deposit (blank host field) even though the paper clearly describes kitten fecal samples.	Deep Illumina-based shotgun sequencing reveals dietary effects on the structure and function of the fecal microbiome of growing kittens.	
PRJEB13870	host_missing		paper names: human; deposit blank/generic			Host is missing from the deposit metadata: the paper studies human gut microbiota, but the ENA host field is blank.	Environmental remodeling of human gut microbiota and antibiotic resistome in livestock farms.	
PRJEB10878	host_missing		paper names: human; deposit blank/generic			Host is missing from the deposit host field despite clear human origin in the paper and sample metadata.	Diversity and distribution of sulfur metabolic genes in the human gut microbiome and their association with colorectal cancer.	
PRJNA1302757	host_missing		paper names: Teleogryllus occipitalis (female field cricket, Orthoptera: Gryllidae); deposit blank/generic			Host species (Teleogryllus occipitalis) is missing from the deposit host field, representing a metadata gap that should be filled.	Gut Microbiome Differences Across Mixed-Sex and Female-Only Social Rearing Regimes in Female Field Crickets Teleogryllus occipitalis (Orthoptera: Gryllidae).	
PRJNA894343	gut_sample_issue			Isolation sources include 'Farm_Feeder_and_Drinker', 'Farm_Wall_and_Floor', 'Negative Control library preparation', 'Negative Control of DNA extraction', 'Negative Control of Swab used for Environmental sampling', and 'Positive Control' — these are environmental and control samples, NOT gut samples.		Genuine gut_sample_issue detected: deposit includes environmental farm surfaces and controls, not purely gut samples as the paper's framing suggests.	Fine-tuning of post-weaning pig microbiome structure and functionality by in-feed zinc oxide and antibiotics use.	Sus scrofa
PRJNA717669	gut_sample_issue; multihost_issue			Isolation sources include: kidney, lung, spleen from multiple individual rats (R22, R26, R27, R28). These are organ/tissue samples, NOT gut samples.	Deposit sample-level data explicitly lists two distinct host species across samples: Rattus norvegicus and Rattus rattus (seen in isolation source labels and host_species_list).	Two issues detected: (1) samples are from non-gut organs (kidney, lung, spleen) despite apparent gut-microbiome framing, and (2) deposit explicitly names two distinct rat species (Rattus norvegicus and Rattus rattus) while paper presents them as undifferentiated 'wild rodents.'	The selection of software and database for metagenomics sequence analysis impacts the outcome of microbial profiling and pathogen detection.	Rattus norvegicus
PRJEB73511	gut_sample_issue; multihost_issue			Paper describes sampling horses' skin, oral, and fecal microbiomes ('along with the horses' skin, oral and fecal microbiomes'). The deposit biome labels include 'horse metagenome' and the sample titles 'Horse microbiome' do not distinguish sample types, but the paper explicitly states non-gut samples (skin and oral) were collected from horses.	The deposit's sample-level data (sample titles and biome labels) explicitly names two distinct host species: 'Horse microbiome' and 'Human gut microbiome' in the titles, and 'horse metagenome' and 'human gut metagenome' in the biome labels. The paper presents the study as examining both horse and human samples, which is confirmed by explicit multi-host labeling in the deposit metadata.	Deposit contains explicit evidence of two hosts (horse and human samples) with non-gut samples (horse skin and oral) that are not clearly distinguished in metadata, creating minor annotation gaps rather than outright errors.	A 15-day pilot biodiversity intervention with horses in a farm system leads to gut microbiome rewilding in 10 urban Italian children.	horse metagenome
PRJNA671703	gut_sample_issue			Sample titles and biome labels explicitly include 'soil metagenome' and 'manure metagenome'. The abstract describes sampling 'fresh manure, manure from pits, and field soil'. Field soil is not a gut sample.		Gut sample issue flagged: deposit explicitly contains soil metagenome samples, which are non-gut environmental samples, not gut microbiome samples.	Manure Microbial Communities and Resistance Profiles Reconfigure after Transition to Manure Pits and Differ from Those in Fertilized Field Soil.	manure metagenome
PRJNA479518	gut_sample_issue; multihost_issue			Isolation sources list 'vulture face' and 'vulture gut'. Facial skin is a non-gut surface sample.	Paper describes two distinct vulture species: Coragyps atratus (black vulture) and Cathartes aura (turkey vulture). Deposit host field shows only generic 'vulture' but isolation sources ('vulture face', 'vulture gut') do not explicitly disambiguate which species each sample came from at the sample level.	Study includes non-gut body sites (facial skin) alongside gut samples, and the deposit lacks sample-level species disambiguation between the two vulture species mentioned in the paper.	Protective role of the vulture facial skin and gut microbiomes aid adaptation to scavenging.	vulture
PRJNA932553	host_mismatch; gut_sample_issue	paper: Ailuropoda melanoleuca (giant panda), Ursus thibetanus (Asiatic black bear), Homo sapiens (human), and gorillas vs deposit: Homo sapiens		Sample titles reference 'human oral metagenome' and biome labels show 'human oral metagenome'. The paper states 118 samples total: 28 supragingival (oral) samples and 90 fecal samples. The deposit metadata explicitly identifies samples as oral, not gut/fecal.		The deposit (Homo sapiens oral samples only) does not represent the full multi-host scope described in the paper (giant pandas, bears, humans, gorillas), and sample-level metadata indicates oral rather than fecal samples, creating both host and sample-type discrepancies.	Comprehensive metagenomic analysis of the giant panda's oral microbiome reveals distinct taxonomic and functional characteristics.	Homo sapiens
PRJEB88012	host_missing		paper names: chicken (commercial chickens); deposit blank/generic			Host is missing from the deposit ENA metadata despite the paper explicitly sampling from commercial chickens.	Investigating microbial population structure and function in the chicken caeca and large intestine over time using metagenomics.	
PRJNA1234694	host_mismatch	paper: Diaprepes abbreviatus vs deposit: Diaprepres abbreviatus				Spelling error in deposit host field ('Diaprepres' instead of 'Diaprepes') is the only issue, representing a metadata transcription error rather than a genuine biological mismatch.	Gut microbial community structure of the adult citrus root weevil Diaprepes abbreviatus.	Diaprepres abbreviatus
PRJNA1297587	gut_sample_issue; multihost_issue			Deposit isolation sources include 'leaves' (non-gut samples); sample titles and biome labels confirm leaf metagenome samples alongside gut samples.	Host species list shows TWO distinct organisms: 'Citrus x aurantiifolia' and 'Diaprepes abbreviatus'. Sample-level data (isolation sources, biome labels) explicitly segregate these: 'gut' samples from D. abbreviatus; 'leaf metagenome' and 'leaves' isolation source indicating Citrus sampling.	The deposit contains non-gut samples (leaves from Citrus) and explicitly lists two host species, both acknowledged in the paper as a comparative control design, making these methodologically justified rather than reporting errors.	Gut microbial community structure of the adult citrus root weevil Diaprepes abbreviatus.	Diaprepes abbreviatus
PRJNA509211	multihost_issue				Deposit sample-level data (sample titles and host_species_list) explicitly names FIVE DISTINCT termite species: Cryptotermes domesticus, Cryptotermes secundus, Prorhinotermes simplex, Reticulitermes flavipes, Reticulitermes grassei. Paper title and abstract refer to 'a set of lower termite species' and 'five termite species', treating them as a comparative study, not as a single-host study.	No genuine reporting errors detected. The study properly compares microbiomes across five lower termite species; deposit and paper are consistent.	Ecological specificity of the metagenome in a set of lower termite species supports contribution of the microbiome to adaptation of the host.	Cryptotermes secundus
PRJNA750644	multihost_issue				Deposit host_species_list shows 2 distinct species: Pardosa agraria and Pardosa laura. Paper compares gut microbiota of both species.	Multihost issue: deposit sample-level data explicitly identify two distinct Pardosa species (agraria and laura) while the deposit host field lists only P. agraria.	Diversity and Function of Wolf Spider Gut Microbiota Revealed by Shotgun Metagenomics.	Pardosa agraria
PRJNA641765	gut_sample_issue			Sample titles and biome labels explicitly state 'human skin metagenome'. Deposit metadata indicates skin samples, not gut samples. Paper title and abstract confirm 'skin microbiome' as the study target.		No genuine reporting errors detected. Paper and deposit are in full agreement: human skin microbiome study with Homo sapiens as host, correctly labeled as skin (not gut) samples.	The Neuromodulator-Encoding sadA Gene Is Widely Distributed in the Human Skin Microbiome.	Homo sapiens
PRJNA1067380	multihost_issue				Paper title and abstract describe characterization of gut microbiota of TWO distinct parasitoid wasp species: Cotesia vestalis and Diadromus collaris. Deposit host field lists only 'Cotesia vestalis' (1 distinct species).	The deposit metadata is incomplete: it lists only Cotesia vestalis while the paper studies two parasitoid wasp species (C. vestalis and D. collaris), representing a multihost issue not fully captured in the deposit.	Characterization of larval gut microbiota of two endoparasitoid wasps associated with their common host, Plutella xylostella (Linnaeus) (Lepidoptera: Plutellidae).	Cotesia vestalis
PRJEB57214	host_missing		paper names: mice; deposit blank/generic			Host metadata gap: paper describes mice but deposit host field is empty, constituting host_missing rather than mismatch.	Impaired flux of bile acids from the liver to the gut reveals microbiome-immune interactions associated with liver damage.	
PRJNA255439	gut_sample_issue			Paper title and abstract explicitly state 'oropharyngeal microbiome' and 'oropharynx'. Deposit body-sites field is empty (no metadata confirming oral/oropharyngeal site). Sample titles (ES_001, ES_007, etc.) provide no indication of body site.		Valid reporting issue: paper describes oropharyngeal microbiome samples but deposit body-sites field is empty, creating a metadata gap for a non-gut oral site study.	Composition, taxonomy and functional diversity of the oropharynx microbiome in individuals with schizophrenia and controls.	Homo sapiens
PRJNA1243555	host_missing		paper names: Broiler chickens (Gallus gallus domesticus); deposit blank/generic			Host_missing issue: the deposit host field incorrectly lists the bacterial pathogen (E. coli) instead of the animal host (chickens), despite the isolation source correctly identifying chicken feces.	Oral and parenteral treatment with a third-generation cephalosporin promotes the proliferation of diverse ESBL-producing Escherichia coli in the chicken intestinal tract.	Escherichia coli
PRJNA1157353	multihost_issue				Paper abstract states: 'Using shotgun metagenomics on 200 worker bees from five honeybee species' and discusses microbiota evolution 'across' multiple honeybee species as the core subject. Deposit sample-level metadata explicitly lists five distinct Apis species (A. andreniformis, A. cerana, A. dorsata, A. florea, A. mellifera) across the samples.	Multi-host issue detected: study encompasses five distinct honeybee species (explicit in deposit sample-level data), which is appropriately framed in the paper but represents a genuinely multi-host comparative design.	Evolution of gut microbiota across honeybee species revealed by comparative metagenomics.	Apis cerana
PRJEB89425	host_missing		paper names: Indri indri (lemur); deposit blank/generic			Host identity (Indri indri) is missing from the ENA deposit metadata, representing a metadata gap rather than a conflict.	Bacterial transmission within social groups shapes the underexplored gut microbiome in the lemur Indri indri.	
PRJNA1244851	host_missing		paper names: Humans and animal models of cystic fibrosis; deposit blank/generic			Host metadata is missing from the deposit; the paper describes sampling from humans and CF animal models but the deposit host field is blank.	Profiling Bile Acids in the Stools of Humans and Animal Models of Cystic Fibrosis.	
PRJNA1209849	host_missing		paper names: SAMP8 mice; deposit blank/generic			Host species metadata is missing from deposit (SAMP8 mice not recorded), but this is a gap rather than a mismatch, as the mouse host is appropriate for an animal model study.	L-Tryptophan Produced by Bifidobacterium pseudocatenulatum NCU-08 Delays Aging in SAMP8 Mice by Activating the Sirt1/P53/P21/Rb Signaling Pathway.	
PRJNA1238482	multihost_issue				Paper title and abstract explicitly study TWO distinct snake species: 'Red Back Pine Root Snake (Oligodon formosanus)' AND 'Chinese Slug-Eating Snake (Pareas chinensis)'. Deposit host field lists only generic 'snake' without distinguishing or listing the two species.	The study involves two distinct snake species (Oligodon formosanus and Pareas chinensis) but the deposit host metadata only records generic 'snake' without capturing the multi-host design.	Characterization and comparison of the fecal bacterial microbiota in Red Back Pine Root Snake (Oligodon formosanus) and Chinese Slug-Eating Snake (Pareas chinensis).	snake
PRJEB60852	host_mismatch; multihost_issue	paper: Yunnan snub-nosed monkey and reindeer vs deposit: Rangifer tarandus platyrhynchus			Paper explicitly states two phylogenetically distant mammals were studied: 'Yunnan snub-nosed monkey and reindeer'. Deposit host field names only Rangifer tarandus platyrhynchus (reindeer). The deposit's own sample titles and biome labels do not explicitly enumerate both species, indicating incomplete metadata capture of the multi-host design described in the paper.	Host mismatch and multihost issue: paper describes a comparative study of two phylogenetically distant mammals (snub-nosed monkey and reindeer), but deposit metadata reflects only reindeer (Rangifer tarandus platyrhynchus).	Gut microbiota contribute to cold adaptation in mammals-primates and ungulates.	Rangifer tarandus platyrhynchus
PRJNA1134918	host_mismatch	paper: mice (implied animal model of human intestinal radioprotection) vs deposit: Bifidobacterium animalis and Bifidobacterium pseudolongum (bacterial species)				Host metadata error: deposit lists bacterial species (Bifidobacterium) as host instead of the mammalian host animal from which stool samples were collected.	Creatine-mediated ferroptosis inhibition is involved in the intestinal radioprotection of daytime-restricted feeding.	Bifidobacterium animalis
PRJNA681546	host_missing		paper names: Human (ulcerative colitis patients, implied by 'gut microbiota studies' in medical context); deposit blank/generic			Host missing: paper describes a human ulcerative colitis study but deposit host field is blank.	Absolute Quantitative Metagenomic Analysis Provides More Accurate Insights for the Anti-Colitis Effect of Berberine via Modulation of Gut Microbiota.	
PRJNA1146968	multihost_issue				Deposit host_species_list explicitly names THREE DISTINCT species: Capricornis sumatraensis, Cervus albirostris, Moschus berezovskii. The paper title states 'three sympatric forest-dwelling ungulates' and abstract mentions comparative study among sympatric species, confirming the three-species design.	The deposit correctly captures a multi-host comparative gut microbiome study of three sympatric ungulate species as described in the paper; multihost_issue flag reflects the multi-species design (not an error), and no genuine reporting discrepancies are detected.	Gut microbiome reveals the trophic variation and significant adaption of three sympatric forest-dwelling ungulates on the eastern Qinghai-Xizang Plateau.	Moschus berezovskii
PRJNA1044797	multihost_issue				Deposit host_species_list contains 4 distinct Bombus species (B. impatiens, B. rufocinctus, B. ternarius, B. vagans), but deposit host field only names 'Bombus impatiens'. Paper abstract and title acknowledge multiple bumble bee species sampled.	Multihost issue detected: deposit sample-level data explicitly names 4 distinct Bombus species, but the summary host field lists only B. impatiens, creating a metadata completeness gap.	Bumble bee gut microbial community structure differs between species and commercial suppliers, but metabolic potential remains largely consistent.	Bombus impatiens
PRJEB43192	multihost_issue				Deposit sample-level biome labels and host_species_list explicitly name two distinct hosts: Gallus gallus and Salmo salar. Biome labels include 'Gallus gallus', 'Salmo salar', 'chicken gut metagenome', 'fish gut metagenome'. Sample titles and metadata confirm both species.	Multihost issue is flagged but represents correct metadata—the HoloFood project genuinely studied both salmon and chicken, and both hosts are properly documented in deposit and paper.	HoloFood Data Portal: holo-omic datasets for analysing host-microbiota interactions in animal production.	Gallus gallus
PRJNA560329	multihost_issue				Deposit host_species_list shows 8 distinct termite species: Cornitermes sp., Embiratermes neotenicus, Isognathotermes ugandensis, Labiotermes labralis, Microcerotermes parvus, Nasutitermes corniger, Neocapritermes taracua, Termes hospes. Paper abstract frames study as exploring 'the microbial landscape within termite guts varies across termite families' and compares lower termites vs higher termites as a conceptual framework, but does not explicitly declare that the dataset merges samples from 8 independent host species.	Deposit reveals 8 distinct termite host species in sample-level metadata, but paper abstract does not transparently disclose this multi-host composition, creating a reporting clarity issue.	Unveiling lignocellulolytic potential: a genomic exploration of bacterial lineages within the termite gut.	Labiotermes labralis
PRJNA732531	multihost_issue				Deposit host species list explicitly names 45 DISTINCT termite species (Alyscotermes sp., Astalotermes quietus, Calcaritermes temnocephalus, Coatitermes kartaboensis, Constrictotermes cavifrons, Coptotermes formosanus, Cornitermes pugnax, Crepititermes verruculosus, Cryptotermes cavifrons, Cryptotermes dudleyi, Cylindrotermes parvignathus, Dicuspiditermes spinitibialis, Euhamitermes sp., Furculitermes sp., Globitermes sulphureus, Glyptotermes sp., Hodotermes mossambic... and 28 others). Paper abstract presents the study as a unified investigation across termite families but does not explicitly enumerate individual species.	Multihost issue detected: deposit explicitly lists 45 distinct termite species across samples, while paper presents findings using termite family categories (lower vs. higher termites) without clearly communicating the multi-species scope.	Unveiling lignocellulolytic potential: a genomic exploration of bacterial lineages within the termite gut.	Glyptotermes sp.
PRJNA1151203	multihost_issue				Deposit host_species_list and sample-level metadata explicitly distinguish two species: Macaca mulatta vestita and Semnopithecus schistaceus. Paper title and abstract present both species equally as subject of the study.	The deposit correctly documents two distinct host species (Semnopithecus schistaceus and Macaca mulatta vestita) at the sample level, matching the paper's comparative microbiome study design; all samples are from gut (feces), and no genuine errors detected.	Geographic and environmental impacts on gut microbiome in Himalayan langurs (Semnopithecus schistaceus) and Xizang macaques (Macaca mulatta vestita).	Semnopithecus schistaceus
PRJNA1123873	host_mismatch	paper: Spodoptera frugiperda (Fall Armyworm insect larvae) vs deposit: Enterococcus casseliflavus (bacterium)				Host mismatch detected: paper studies Fall Armyworm (Spodoptera frugiperda) gut microbiota, but deposit host field incorrectly lists a bacterial species (Enterococcus casseliflavus) instead of the insect host.	Metagenomic profiling of gut microbiota in Fall Armyworm (Spodoptera frugiperda) larvae fed on different host plants.	Enterococcus casseliflavus
PRJNA1135459	host_mismatch	paper: SD rats vs deposit: Mus musculus				Host species mismatch: paper reports SD rats; deposit records Mus musculus (mouse)—these are distinct rodent species, not synonymous.	Assessment of the potential risks in SD rats gavaged with genetically modified yeast containing the cp4-epsps gene.	Mus musculus
PRJNA1108955	multihost_issue				Host species list shows 2 distinct species: 'Lycodon rosozonatus' and 'Lycodon rufozonatus'. The deposit sample-level data explicitly names both species as hosts across the project.	Multi-host issue detected: deposit sample metadata explicitly includes two distinct Lycodon species, while the paper's presentation of host sampling is not sufficiently detailed to confirm alignment with this multi-species composition.	How Host Phylogeny, Diet, and Habitat Affect Gut Microbial Diversity in Wild Snakes.	Lycodon rufozonatus
PRJNA1144187	host_missing		paper names: wild snakes (23 species); deposit blank/generic			Host missing: the paper studies wild snakes but the deposit lacks a populated host field, representing a metadata gap.	How Host Phylogeny, Diet, and Habitat Affect Gut Microbial Diversity in Wild Snakes.	missing
PRJNA1302101	host_mismatch	paper: Nannopterum auritum (double-crested cormorant) vs deposit: Phalacrocorax auritus				Host mismatch: the deposit host field uses outdated taxonomy (Phalacrocorax auritus) while the paper and deposit isolation-source field correctly identify the modern species name (Nannopterum auritum).	Hi-C Metagenome Deconvolution of Double-Crested Cormorant (Nannopterum auritum) Fecal Samples Demonstrates Feasibility of Linking Microbial Genomes, AMR Genes, and Mobile Elements in Avian Microbiomes.	Phalacrocorax auritus
PRJNA1477333	host_missing		paper names: broiler chickens; deposit blank/generic			Host is missing from the deposit metadata: the paper studies broiler chickens but the deposit host field is empty.	Investigation of the Effect of TiO(2) as a Dietary Marker on Broiler Intestinal Fermentation: Combination of Ex Vivo Simulation and In Vivo Approach.	
PRJNA1442370	host_missing		paper names: Forest Musk Deer; deposit blank/generic			Host identity (forest musk deer) is missing from the ENA deposit host field, representing a significant metadata gap despite clear specification in the paper.	Altitude-Associated Divergence of the Gut Microbiome in Endangered Forest Musk Deer: Evidence From Integrated Metagenomics, Metabolomics, and Culturomics.	
PRJNA1212753	host_mismatch	paper: vertebrate gut microbiomes (multiple species implied by 'vertebrate' - includes humans and other vertebrates based on context of bilirubin reduction pathway) vs deposit: Canis lupus familiaris (dog)				Host mismatch detected: paper describes vertebrate-wide gut microbiomes but deposit specifies only Canis lupus familiaris.	Discovery of BilV reveals a multienzymatic basis for bilirubin reduction across vertebrate gut microbiomes.	Canis lupus familiaris
PRJNA1399069	host_missing; multihost_issue		paper names: freshwater fish (five dominant farmed species); deposit blank/generic		Paper explicitly states 'five dominant farmed freshwater fish species with distinct feeding habits (herbivory, omnivory, filter-feeding, and carnivory)'. Deposit provides no host data to confirm or deny this multiplicity	Deposit lacks all host and sample-level metadata (host field, body sites, isolation sources empty); paper describes five freshwater fish species, making host_missing and multihost_issue flaggable.	Dietary niches drive microbial community assembly, network reorganization, and symbiont evolution in freshwater fish gut microbiomes.	
PRJNA1376267	host_missing		paper names: domestic cats (Felis catus); deposit blank/generic			Host metadata gap: the paper studies domestic cats, but the ENA deposit host field is empty, creating a host_missing error despite correct gut-source annotation in isolation source and sample titles.	The Gut Microbiome and Metabolome of Domestic Cats Were Altered by the Oral Administration of Complex Probiotics.	
PRJNA1154995	host_missing		paper names: wildlife species from Wolong Nature Reserve (e.g., giant panda, other wild animals); deposit blank/generic			Host species information is missing from the deposit metadata despite the paper studying multiple wildlife species from Wolong Nature Reserve.	Dietary drivers of gut microbiota diversity and function in wildlife of Wolong Nature Reserve: a metagenomic study.	feces metagenome
PRJNA890321	multihost_issue				Deposit sample-level data explicitly lists 2 distinct host species: Cygnus cygnus and Cygnus atratus. Paper title refers to 'wild birds' (singular concept) without explicitly stating multiple bird species were sampled.	Multihost issue detected: deposit contains two distinct Cygnus species (C. cygnus and C. atratus) while paper presents a single unified bird microbiome study without explicitly acknowledging the species-level diversity.	A Genomic Catalog of Migratory Microbiomes from Wild Birds across China's Habitats.	Cygnus cygnus
PRJNA1175865	multihost_issue				Deposit sample-level metadata explicitly lists three distinct host species across samples: Alexandromys fortis, Apodemus agrarius, and Rattus norvegicus. Paper title and abstract refer to 'wild rodents' as a single entity being studied for microbiota response to infection, without acknowledging three separate host species.	Deposit contains samples from three distinct rodent species (Alexandromys fortis, Apodemus agrarius, Rattus norvegicus) that should be explicitly distinguished in the study reporting, not collapsed under the umbrella term 'wild rodents'.	Gut microbiota response to Enterocytozoon bieneusi infection in wild rodents: enhanced vitamin B and K(2) biosynthesis pathways.	Alexandromys fortis
