study_accession	keep	gut	gut_conf	body_site	host_verdict	host	is_human	method_note	n_wgs_samples	library_source	llm_notes
PRJEB88329	KEEP	yes	high	gut_explicit	single_clear	Mus musculus	False	agree	167	METAGENOMIC	GUT: yes (high) — Biome labels explicitly state 'Mus musculus' and 'mouse gut metagenome'; library_source is METAGENOMIC (community DNA); WGS strategy dominates (167/171 samples). This is a genuine animal gut microbiome study. || BODY_SITE: gut_explicit — Biome label explicitly includes 'mouse gut metagenome'; no conflicting body site information provided. || HOST: Mus musculus [single_clear] — Biome labels consistently identify 'Mus musculus' (house mouse); sample titles (C_EV_1–5) show no multiplicity of hosts; inferred to be a single-host study of laboratory mice. || METHOD: agree — ENA records 167 WGS samples with METAGENOMIC library source, consistent with shotgun metagenomics of mouse gut microbiome. Minor 4 RNA-Seq samples do not contradict the WGS-dominant shotgun design. || SUMMARY: PRJEB88329 is a high-confidence mouse gut metagenomics study. Single host (Mus musculus), explicit gut site label, dominant WGS strategy, and metagenomic source all align to support classification as a genuine animal gut microbiome study.
PRJNA944612	KEEP	yes	high	gut_explicit	single_clear	Sus scrofa domesticus	False	agree	720	METAGENOMIC	GUT: yes (high) — Biome labels explicitly include 'pig gut metagenome'; library_source is METAGENOMIC (community DNA); 720 WGS samples from metagenomic shotgun sequencing. This is a genuine animal gut microbiome study. || BODY_SITE: gut_explicit — Biome label 'pig gut metagenome' explicitly states gut origin. Sample titles reference 'pig gut metagenome' as isolation source. || HOST: Sus scrofa domesticus [single_clear] — Host field and host species in samples both show 'Sus scrofa domesticus' (domestic pig). Single distinct host species across all 720 samples. || METHOD: agree — WGS/shotgun method (720 samples) aligns with library_strategy_mix designation (WGS:720) and METAGENOMIC library_source, consistent with shotgun metagenomics of gut community DNA. || SUMMARY: This is a straightforward animal gut microbiome study of domestic pig (Sus scrofa domesticus) using shotgun metagenomics. Biome labels explicitly identify 'pig gut metagenome' as the primary sample type, though note that isolation sources also include 'aquatic metagenome' and 'synthetic metagenome' samples, suggesting this may be a mixed-purpose project or reference standard dataset.
PRJNA878467	KEEP	yes	high	gut_explicit	unclear	wildlife (unspecified)	False	agree	1	METAGENOMIC	GUT: yes (high) — Biome label explicitly states 'feces metagenome'; library_source is METAGENOMIC (community DNA); WGS shotgun metagenomics of gut microbiome is confirmed by feces isolation source. || BODY_SITE: gut_explicit — Biome label: 'feces metagenome'; isolation source: 'Wild animal Forest Park' indicates fecal sampling. || HOST: wildlife (unspecified) [unclear] — Host field states 'wildlife' but no species is named in 'Host species in samples' (0 distinct). Sample title 'Fragment-1' provides no taxonomic information. Inference: host is a wild animal from a forest park, but exact species cannot be determined from provided metadata. || METHOD: agree — library_strategy_mix shows WGS:1; library_source is METAGENOMIC; sample count is 1 WGS/shotgun sample. Feces metagenome classification is consistent with metagenomic shotgun sequencing of gut microbiota. || SUMMARY: This is a genuine animal gut microbiome study (fecal metagenome from a wild animal), conducted with appropriate WGS/shotgun metagenomics methods. The primary limitation is that the specific host species cannot be identified from the available metadata.
PRJDB6620	KEEP	yes	high	gut_explicit	single_clear	Mus musculus	False	agree	25	METAGENOMIC	GUT: yes (high) — Biome label explicitly states 'mouse gut metagenome'; library_source is METAGENOMIC (community DNA, not single organism); 25 WGS shotgun samples confirm metagenomic approach || BODY_SITE: gut_explicit — Biome label 'mouse gut metagenome' explicitly identifies gut; sample titles reference 'SI contents' (small intestine), a gut compartment || HOST: Mus musculus [single_clear] — Host field and host species in samples both consistently state 'Mus musculus'; 1 distinct species; no multi-host survey indicators present || METHOD: agree — Library strategy mix shows WGS:25 (all 25 samples are WGS); library_source METAGENOMIC matches shotgun metagenomics; no contradictions between stated method and ENA fields || SUMMARY: This is a straightforward single-host mouse gut microbiome study using whole-genome shotgun metagenomics. All four criteria point to a genuine, well-documented animal gut metagenomic survey with clear methodology.
PRJNA777737	KEEP	yes	high	gut_explicit	single_clear	Ochotona curzoniae	False	agree	26	METAGENOMIC	GUT: yes (high) — Biome label explicitly states 'feces metagenome'; library_source is METAGENOMIC (community DNA); 26 WGS shotgun samples from fecal origin || BODY_SITE: gut_explicit — Biome label: 'feces metagenome'; feces is the primary gut sample type || HOST: Ochotona curzoniae [single_clear] — Host field states 'Ochotona curzoniae' (pika); 1 distinct species confirmed; all 26 samples from same host species; isolation source labels (C1-1, P1-1, etc.) indicate individual animal replicates, not different species || METHOD: agree — ENA fields confirm WGS/shotgun strategy (26 WGS samples), METAGENOMIC library source (community genomic DNA), and fecal metagenome biome classification are all internally consistent || SUMMARY: PRJNA777737 is a straightforward single-host gut microbiome study of Ochotona curzoniae (pika) feces, with 26 WGS shotgun metagenome samples. No contradictions or ambiguities detected.
PRJNA953833	KEEP	yes	high	gut_explicit	single_clear	Mus musculus (mouse)	False	agree	210	METAGENOMIC	GUT: yes (high) — Title explicitly states 'mouse cecal microbiome'; abstract begins 'The gut microbiota adapts to and shapes the host's metabolic state'; cecum is a gut compartment; library_source is METAGENOMIC (community DNA, not single organism); study is focused on microbiome composition. || BODY_SITE: gut_explicit — Title specifies 'mouse cecal microbiome'; cecum is explicitly a gut anatomical site; no mention of skin, oral, or other body sites. || HOST: Mus musculus (mouse) [single_clear] — Title states 'mouse cecal microbiome'; study design references 'diverse BXD population'—BXD refers to a well-established recombinant inbred mouse line panel. Single host species with multiple genetic backgrounds, not multiple host species. || METHOD: agree — WGS sample count of 210 matches library_strategy_mix reporting WGS:210; library_source METAGENOMIC confirms shotgun metagenomic sequencing; RNA-Seq samples (159) are distinct from WGS and do not contradict the WGS-focused audit. || SUMMARY: This is a genuine animal (mouse) gut microbiome study using shotgun metagenomic sequencing (WGS) on cecal samples from a genetically diverse but single-species mouse population (BXD). All four criteria are robustly supported.
PRJNA940065	KEEP	yes	high	gut_inferred	single_clear	Mus musculus	False	agree	14	METAGENOMIC	GUT: yes (high) — Title states 'gut mycobiome', abstract describes a microbiome study, library_source is METAGENOMIC (community DNA), and 14 WGS shotgun samples are documented. Host is Mus musculus (mouse), a non-human animal. || BODY_SITE: gut_inferred — Title explicitly states 'gut mycobiome'. No body_site or isolation_source fields are populated in the metadata, but the title and abstract context (Type 2 diabetes, metformin treatment effects on microbiome) are consistent with gut sampling. || HOST: Mus musculus [single_clear] — Host field explicitly states 'Mus musculus'; host species in samples confirms one distinct species (Mus musculus). Sample titles (M1-M13) appear to be individual mouse replicates across treatment conditions (placebo, metformin, mock), not a multi-host comparative survey of different animals' guts. || METHOD: agree — ENA metadata specifies library_strategy_mix as WGS with 14 samples and library_source as METAGENOMIC, consistent with a shotgun metagenomics study of gut microbial communities. || SUMMARY: This is a genuine animal gut microbiome study using WGS shotgun metagenomics on Mus musculus (mouse) gut samples to assess mycobiome changes associated with metformin treatment. The study is a controlled experimental design (single host species with treatment/placebo arms), not a multi-host survey.
PRJEB9357	KEEP	yes	high	gut_explicit	single_clear	Felis catus	False	agree	88	METAGENOMIC	GUT: yes (high) — Paper title explicitly states 'Feline Faecal Microbiome'; abstract describes 'gut microbiome' study with 'faeces of kittens' sampled longitudinally; library_source is METAGENOMIC (community DNA); 88 WGS samples from feline faecal material. || BODY_SITE: gut_explicit — Title and abstract both explicitly reference 'faecal microbiome' and 'gut microbiome'; sample titles state 'Feline faecal sample'; faeces are the definitive gut sampling material. || HOST: Felis catus [single_clear] — Host field states 'Felis catus' (domestic cat); paper title and abstract consistently describe single-host longitudinal study of kittens (16 male, 14 female, same individuals sampled at three timepoints); no multi-host comparison intended. || METHOD: agree — Abstract states 'DNA was shotgun sequenced on the Illumina platform'; ENA library_strategy_mix records 'WGS:88' (all 88 samples are shotgun WGS); library_source 'METAGENOMIC' is correct for community faecal DNA; method description and metadata are consistent. || SUMMARY: This is a straightforward, high-confidence genuine animal gut microbiome study. A longitudinal WGS metagenomics study of the domestic cat (Felis catus) faecal microbiome across kittens' early development, with explicit sampling of gut material and shotgun sequencing metadata fully aligned with the method description.
PRJNA1173401	KEEP	yes	high	gut_explicit	single_clear	Gallus gallus	False	agree	6	METAGENOMIC	GUT: yes (high) — Biome label explicitly states 'chicken gut metagenome'; sample titles reference 'chicken gut metagenome'; library_source is METAGENOMIC (community DNA, not single organism); 6 WGS shotgun samples from gut community. || BODY_SITE: gut_explicit — Biome label: 'chicken gut metagenome'; sample titles: 'chicken gut metagenome'; no conflicting body site information provided. || HOST: Gallus gallus [single_clear] — Host field: Gallus gallus (chicken); host species in samples: 1 distinct species (Gallus gallus); consistent across metadata. || METHOD: agree — library_strategy_mix shows WGS:6 (6 whole-genome shotgun samples); library_source is METAGENOMIC (appropriate for community DNA); 6 WGS/shotgun sample count matches declared strategy. || SUMMARY: This is a legitimate, single-host chicken gut metagenomics study. All four criteria are clearly satisfied: animal gut origin (explicit in labels), gut body site (explicit), single host species (Gallus gallus), and consistent WGS methodology.
PRJNA1012496	KEEP	yes	high	gut_explicit	single_clear	Mus musculus (mouse)	False	agree	12	METAGENOMIC	GUT: yes (high) — Paper title states 'mouse model of coronary heart disease'; biome label explicitly 'mouse gut metagenome'; sample titles specify 'animal sample from mouse gut metagenome'; library_source is METAGENOMIC (community DNA, not single organism genome). || BODY_SITE: gut_explicit — Biome label: 'mouse gut metagenome'; sample titles: 'mouse gut metagenome'; paper abstract discusses 'viral metagenomics' in context of mouse model study. || HOST: Mus musculus (mouse) [single_clear] — Paper title explicitly states 'mouse model of coronary heart disease'; biome label 'mouse gut metagenome'; sample titles 'animal sample from mouse gut metagenome'; all 12 WGS samples are consistently labeled as mouse origin. || METHOD: agree — Paper describes 'viral metagenomics' (shotgun sequencing of community DNA); ENA metadata shows library_strategy_mix WGS:12 (whole-genome shotgun) with library_source METAGENOMIC, which is consistent with metagenomic sequencing. || SUMMARY: This is a straightforward animal gut microbiome study using shotgun metagenomics to profile mouse gut viral and microbial communities in a disease model context. All metadata (title, biome labels, sample descriptions, sequencing strategy) consistently indicate mouse gut metagenome samples.
PRJNA777422	KEEP	yes	high	gut_explicit	single_clear	C57BL/10J and C57BL/11J mice	False	agree	16	METAGENOMIC	GUT: yes (high) — library_source is METAGENOMIC (community DNA); WGS/shotgun strategy confirmed for 16 samples; isolation_source explicitly states 'fece sample' of mice; biome_label is 'feces metagenome'; body_site context and sample titles confirm fecal origin. || BODY_SITE: gut_explicit — Host field states 'feces metagenome'; isolation_source specifies 'fece sample'; biome_label is 'feces metagenome'; sample_titles reference 'feces metagenome'. || HOST: C57BL/10J and C57BL/11J mice [single_clear] — Isolation_source explicitly names 'C57BL/10 J mice' and 'C57BL/11 J mice' as fecal sources. These are inbred laboratory mouse strains; the study appears to compare treatment conditions (normal diet vs. latycodon grandiflorum root extract) but within the same host species. All 16 samples derive from these specified mouse strains. || METHOD: agree — library_strategy_mix shows WGS:16 (16 WGS samples); library_source is METAGENOMIC, consistent with shotgun metagenomics of fecal community DNA; method aligns with ENA WGS fields. || SUMMARY: This is a genuine animal gut microbiome study using shotgun WGS on fecal samples from two inbred mouse strains under different dietary conditions. The single host (mouse, non-human) with clear species identification, explicit fecal origin, and metagenomic sequencing strategy support a high-confidence audit result.
PRJEB96078	KEEP	yes	high	gut_explicit	single_clear	Mus musculus	False	agree	192	METAGENOMIC	GUT: yes (high) — Biome labels explicitly state 'mouse gut metagenome'; body_site is UBERON:feces; library_source is METAGENOMIC (community DNA); 192 WGS samples confirm shotgun metagenomics approach on gut community material. || BODY_SITE: gut_explicit — Body site field specifies UBERON:feces; biome label includes 'mouse gut metagenome'; feces is unambiguously a gut-derived sample type. || HOST: Mus musculus [single_clear] — Host field states 'Mus musculus'; host species in samples shows 1 distinct species (Mus musculus); sample titles contain consistent identifiers (15424.A113.A395.*) suggesting a single study cohort of laboratory mice. || METHOD: agree — ENA fields show library_strategy_mix of WGS:192 and library_source METAGENOMIC, consistent with shotgun metagenomics (WGS) of fecal community DNA from mouse gut. || SUMMARY: This is a genuine animal gut microbiome study: mouse (Mus musculus) fecal metagenomics with 192 WGS samples. All metadata fields are consistent and explicitly indicate gut origin via feces sampling and biome labeling.
PRJEB39500	KEEP	yes	high	gut_explicit	multi_host	Homo sapiens	True	agree	203	METAGENOMIC	GUT: yes (high) — Paper title explicitly states 'gut mycobiome'; abstract describes study of Type 2 diabetes gut microbiome; sample titles state 'Human gut microbiome - fecal sample'; library_source is METAGENOMIC (community DNA); 203 WGS samples. Humans are animals per the audit instructions. || BODY_SITE: gut_explicit — Sample titles explicitly state 'Human gut microbiome - fecal sample'; paper title contains 'gut mycobiome'; fecal samples are the canonical specimen type for gut microbiome studies. || HOST: Homo sapiens [multi_host] (HUMAN) — Paper title phrase 'across populations' (plural) and author affiliations listing multiple institutions suggest a multi-population/multi-individual human study. The host field in ENA is empty, but sample titles confirm human origin. Inference: this is a comparative study of multiple human subjects with Type 2 diabetes, not a single-host or incidental sampling scenario. || METHOD: agree — ENA fields show library_strategy_mix WGS:203, library_source METAGENOMIC, and biome label 'metagenome', all consistent with shotgun metagenomic sequencing of gut community DNA. Paper abstract describes mycobiome analysis, which is metagenomics-appropriate. || SUMMARY: This is a genuine human gut microbiome study of Type 2 diabetes patients treated with metformin, using shotgun WGS of fecal samples across multiple populations. All four criteria are clearly satisfied: valid animal (human) gut study, explicit gut body site, multi-host design, and methods agreement.
PRJEB60080	KEEP	yes	high	gut_explicit	single_clear	Sus scrofa domesticus	False	agree	6	METAGENOMIC	GUT: yes (high) — Biome label explicitly states 'pig gut metagenome'; host field is Sus scrofa domesticus (domestic pig); library_source is METAGENOMIC (community DNA, not single organism); WGS strategy with 6 shotgun samples. || BODY_SITE: gut_explicit — Biome label directly states 'pig gut metagenome'; this is explicit gut designation. || HOST: Sus scrofa domesticus [single_clear] — Host field lists Sus scrofa domesticus; host species in samples shows 1 distinct species (Sus scrofa domesticus); no evidence of multi-host survey or incidental sampling. || METHOD: agree — ENA records library_strategy_mix as WGS:6 (6 whole-genome shotgun samples), library_source as METAGENOMIC, consistent with a metagenomic shotgun sequencing study. Sample titles include mock controls and plasmid vector controls, appropriate for metagenomics validation. || SUMMARY: This is a genuine pig gut metagenome study with metagenomic (WGS) shotgun sequencing of 6 samples. The study design, host, body site (gut), and methods are consistent and clearly documented.
PRJNA1187854	KEEP	yes	high	gut_explicit	single_clear	Bos taurus	False	agree	20	METAGENOMIC	GUT: yes (high) — Paper title explicitly states 'hindgut microbiome' in dairy ruminants; abstract describes microbiome disruption; biome label is 'gut metagenome'; isolation source is 'feces'; sample titles reference 'gut metagenome'. This is a genuine animal gut microbiome study. || BODY_SITE: gut_explicit — Biome label states 'gut metagenome'; isolation source explicitly listed as 'feces'; paper title mentions 'hindgut microbiome'; sample titles include 'gut metagenome'. Gut sampling is unambiguous. || HOST: Bos taurus [single_clear] — Host field explicitly states 'Bos taurus' (dairy cattle); paper title specifies 'dairy ruminants'; no evidence of multiple host species; 20 WGS samples all from the same host species. || METHOD: agree — Paper describes microbiome study (metagenomics); library_source is METAGENOMIC (community DNA, not single organism); library_strategy_mix shows WGS:20 matching the 20 metagenome samples; isolation source (feces) aligns with gut microbiome sampling. || SUMMARY: This is a straightforward, single-host dairy cattle gut microbiome study using 20 WGS shotgun metagenomics samples from fecal material. All four criteria align consistently with a valid animal gut microbiome study design.
PRJNA385949	KEEP	yes	high	gut_explicit	single_clear	Homo sapiens	True	agree	262	METAGENOMIC	GUT: yes (high) — Paper title explicitly states 'gut microbiome'; biome label is 'human gut metagenome'; isolation source is 'stool'. 262 WGS metagenomic samples from community DNA. Humans are animals; human gut microbiome studies are valid animal gut studies. || BODY_SITE: gut_explicit — Biome label: 'human gut metagenome'. Isolation source: 'stool'. Paper title: 'gut microbiome'. || HOST: Homo sapiens [single_clear] (HUMAN) — Paper is explicitly about inflammatory bowel disease PATIENTS (humans). Biome label specifies 'human gut metagenome'. No evidence of multi-host survey; this is a meta-analysis of human IBD patient cohorts. || METHOD: agree — WGS/shotgun (262 samples) matches library_strategy_mix field. Metagenomic library source (community DNA) is appropriate for gut microbiome. Stool isolation source is standard for gut microbiome collection. || SUMMARY: This is a high-confidence human gut microbiome meta-analysis study with 262 WGS metagenomic samples from stool of inflammatory bowel disease patients. All fields align: title, biome label, isolation source, and sequencing strategy are consistent and explicitly gut-focused.
PRJEB38095	REVIEW	yes	high	gut_explicit	single_clear	Mus musculus (mouse)	False	mismatch	298	METAGENOMIC	GUT: yes (high) — Biome label explicitly states 'mouse gut metagenome'; sample titles reference 'Mouse fecal bacterial' datasets; library_source is METAGENOMIC (community DNA), confirming microbiome composition study, not host genome || BODY_SITE: gut_explicit — Biome label: 'mouse gut metagenome'; sample titles: 'Mouse fecal bacterial' (fecal = gut-derived); no skin, oral, or other body sites mentioned || HOST: Mus musculus (mouse) [single_clear] — All biome labels and sample titles consistently reference 'Mouse' or 'mouse'; no other hosts mentioned; 298 WGS samples all attributed to mouse fecal material || METHOD: mismatch — WGS sample count is 298 (shotgun metagenomic), but library_strategy_mix shows WGS:298 and Tn-Seq:215 (513 total), indicating this project contains mixed methodologies. The WGS samples align with true shotgun metagenomics, but Tn-Seq (transposon sequencing) is a fundamentally different approach, not traditional WGS microbiome profiling || SUMMARY: This is a genuine mouse gut microbiome study with 298 WGS shotgun metagenomic samples from fecal material. However, the project contains a mixed methodology component (Tn-Seq samples), which may reflect different experimental aims within a single BioProject accession.
PRJNA290380	KEEP	yes	high	gut_explicit	single_clear	Homo sapiens	True	agree	785	METAGENOMIC	GUT: yes (high) — Title explicitly states 'gut'; abstract describes 'gut carriage of resistance genes' and 'microbial carbohydrate metabolism during early life'; biome label states 'human gut metagenome'; sample titles specify 'human gut metagenome'. Humans are animals; human gut microbiome studies are valid animal gut studies per instructions. || BODY_SITE: gut_explicit — Title contains 'gut'; abstract repeatedly references 'gut'; biome label is 'human gut metagenome'; sample titles state 'human gut metagenome'. Body site field is blank in metadata, but explicit textual designation overrides. || HOST: Homo sapiens [single_clear] (HUMAN) — Host field: 'Homo sapiens'; host species in samples: 'Homo sapiens (1 distinct)'; title indicates 'Infant age' as variable, referring to human infants; sample titles and biome label all specify 'human'. Single, unambiguous host species. || METHOD: agree — ENA records: library_strategy_mix = WGS (785 samples); library_source = METAGENOMIC (community DNA, not single-organism genomic); study involves metagenomics of gut microbiota. Title and abstract are consistent with shotgun metagenomic sequencing of infant gut microbiomes. No methodological mismatch detected. || SUMMARY: This is a legitimate human infant gut microbiome study using WGS shotgun metagenomics (785 samples), examining resistance gene carriage and microbial metabolism across early life. Single clear host (human), explicit gut sampling, and methods agree with metadata.
PRJNA1064611	KEEP	yes	high	gut_inferred	single_clear	Serrasalmus rhombeus	False	agree	8	METAGENOMIC	GUT: yes (high) — Abstract explicitly states 'metagenomes were sampled from piranha (Serrasalmus rhombeus)' and 'fish microbiomes' are the subject of study. Paper title refers to 'piranha gut microbiome'. This is a genuine animal gut microbiome study. || BODY_SITE: gut_inferred — Paper title and abstract repeatedly refer to 'gut microbiome' and 'fish microbiomes' as the focal samples. Sample titles list 'Swab_1–4' (suggesting swab collection method typical of gut sampling from fish) versus 'Water_1' (river water control). No explicit 'gut' annotation in body site fields, but context and nomenclature strongly indicate gut origin. || HOST: Serrasalmus rhombeus [single_clear] — Host field and sample metadata identify a single fish species: Serrasalmus rhombeus (piranha). One distinct host species confirmed in sample metadata. This is a single-host comparative study (piranha gut vs. river water), not a multi-host survey. || METHOD: agree — Paper states 'Shotgun metagenome sequencing' which matches the WGS library_strategy_mix designation. library_source is METAGENOMIC (community DNA), consistent with gut microbiome sampling. 8 WGS samples reported across swabs and water. || SUMMARY: This is a valid single-host animal gut microbiome study using shotgun metagenomics to characterize piranha gut microbial communities and compare them to river water. Samples are inferred to be gut-derived based on explicit 'gut microbiome' terminology in title and abstract, despite lacking explicit body-site annotation.
PRJEB39110	KEEP	yes	high	gut_explicit	single_clear	Gallus gallus	False	agree	70	METAGENOMIC	GUT: yes (high) — Biome label explicitly states 'chicken gut metagenome'; body sites are 'Caecum content' and 'Ileum content' (both gut compartments); library_source is METAGENOMIC (community DNA, not single organism genome); 70 WGS shotgun samples of metagenomic origin. || BODY_SITE: gut_explicit — Body sites explicitly listed as 'Caecum content' and 'Ileum content'—both are intestinal compartments; biome label confirms 'chicken gut metagenome'. || HOST: Gallus gallus [single_clear] — Host field: Gallus gallus (domestic chicken); host species in samples shows 1 distinct species (Gallus gallus); sample titles (CA01.10F1a, CA02.14F1a, etc.) indicate multiple individual chickens but single species; no evidence of multi-host survey structure. || METHOD: agree — library_strategy_mix shows WGS:70 (70 WGS/shotgun samples); library_source is METAGENOMIC (appropriate for community DNA from gut content); body sites (caecum, ileum content) align with shotgun metagenomics of microbial communities rather than host genomics. || SUMMARY: This is a genuine single-species (Gallus gallus) chicken gut microbiome study using shotgun metagenomics on caecal and ileal samples. All four criteria are unambiguous and internally consistent.
PRJNA945347	KEEP	yes	high	gut_explicit	single_clear	Ctenopharyngodon idella	False	agree	36	METAGENOMIC	GUT: yes (high) — Paper title: 'Deciphering the gut microbiome of grass carp through multi-omics approach.' Biome label explicitly states 'gut metagenome'. Isolation source: 'Intestinal'. This is a genuine animal gut microbiome study. || BODY_SITE: gut_explicit — Isolation source field states 'Intestinal'. Biome label: 'gut metagenome'. Sample titles (1CDIC1, etc.) suggest intestinal content (CDIC likely = Ctenopharyngodon idella intestinal content). No ambiguity. || HOST: Ctenopharyngodon idella [single_clear] — Host field explicitly states 'Ctenopharyngodon idella' (grass carp, a freshwater fish). Host species in samples shows 1 distinct species: Ctenopharyngodon idella. Paper title confirms 'grass carp'. No multi-host survey; this is a focused study of one fish species. || METHOD: agree — ENA records show library_strategy_mix: WGS:36 (36 WGS/shotgun samples), library_source: METAGENOMIC (community DNA, appropriate for microbiome). Paper subtitle mentions 'multi-omics approach' (implying metagenomic and potentially other omics data), consistent with WGS shotgun metagenomics. No mismatch detected. || SUMMARY: This is a straightforward, single-host animal gut microbiome study using WGS shotgun metagenomics of grass carp (Ctenopharyngodon idella) intestinal samples. All criteria align clearly with the stated methods and metadata.
PRJDB15956	KEEP	yes	high	gut_explicit	single_clear	Homo sapiens	True	agree	167	METAGENOMIC	GUT: yes (high) — Biome label explicitly states 'human gut metagenome'; library_source is METAGENOMIC (community DNA, not single organism); 167 WGS shotgun samples confirm metagenomic approach. Humans are animals; human gut microbiome studies are valid animal gut studies per instructions. || BODY_SITE: gut_explicit — Biome label: 'human gut metagenome'. No conflicting body site information provided. || HOST: Homo sapiens [single_clear] (HUMAN) — Host field: Homo sapiens; Host species in samples (1 distinct): Homo sapiens. Single, unambiguous host species across all 167 samples. || METHOD: agree — library_strategy_mix shows WGS:167 (whole-genome shotgun); library_source is METAGENOMIC. This aligns with shotgun metagenomics (WGS) collection for gut microbiome community DNA. || SUMMARY: This is a straightforward human gut metagenome study with 167 WGS shotgun samples from a single host species (Homo sapiens). All four criteria are clearly supported by explicit metadata.
PRJEB90470	REVIEW	yes	high	gut_explicit	single_clear	Mus musculus	False	mismatch	0	METAGENOMIC	GUT: yes (high) — Paper title explicitly states 'gut microbiota' analysis in mice. Abstract confirms 'Metagenomics and metabolomics were used to analyze the main species and metabolic pathways' in the context of gut microbiota modulation by rosuvastatin in high-fat diet-fed mice. || BODY_SITE: gut_explicit — Title and abstract explicitly reference 'gut microbiota' and 'gut metabolites'. No other body sites mentioned. || HOST: Mus musculus [single_clear] — Host field clearly states 'Mus musculus' (laboratory mouse). Paper title and abstract consistently describe a single-host experimental study ('high-fat diet-fed mice'). || METHOD: mismatch — ENA metadata shows 'WGS/shotgun sample count: 0' and 'library_strategy_mix: WGA:6' (whole genome amplification, not shotgun/WGS). However, the paper title and abstract explicitly describe a metagenomics study. The sample count of 0 for WGS is inconsistent with a shotgun metagenomics approach. This suggests either metadata curation error or that WGA was used as a pre-amplification step before metagenomics rather than true shotgun sequencing. || SUMMARY: This is a legitimate mouse gut microbiome study examining how rosuvastatin modulates the gut microbiota and metabolites in obesity. However, there is a discrepancy between the stated metagenomics method in the paper and the ENA WGS/shotgun field reporting (0 samples) versus WGA (6 samples), indicating potential metadata incompleteness or preprocessing documentation issues.
PRJNA543206	KEEP	yes	high	gut_explicit	single_clear	Gallus gallus	False	agree	50	METAGENOMIC	GUT: yes (high) — Paper title explicitly states 'chicken gut microbiome'; abstract confirms metagenomics study; isolation source field: 'feces'; biome label: 'chicken gut metagenome'; sample titles reference 'chicken gut metagenome'. All evidence converges on a genuine gut microbiome study. || BODY_SITE: gut_explicit — Title contains 'gut microbiome'; isolation source explicitly 'feces'; biome label 'chicken gut metagenome'; sample titles reference 'chicken gut metagenome'. Gut body site is unambiguously stated. || HOST: Gallus gallus [single_clear] — Host field: 'Gallus gallus' (domestic chicken); host species in samples shows 1 distinct species: 'Gallus gallus'; paper title and abstract consistently reference chicken; no multi-host survey structure evident. || METHOD: agree — ENA fields confirm: library_strategy_mix = 'WGS:50' (50 WGS samples); library_source = 'METAGENOMIC' (community DNA, appropriate for gut microbiome); sample count of 50 WGS metagenomes aligns with stated metagenomics approach in title and abstract. || SUMMARY: This is a straightforward, high-confidence animal gut metagenomics study of chicken (Gallus gallus) fecal samples using 50 shotgun WGS metagenomes. Title, methods, isolation source, and ENA metadata are all consistent and unambiguous.
PRJEB64334	REVIEW	yes	high	gut_explicit	single_clear	Salmo salar	False	mismatch	709	METAGENOMIC	GUT: yes (high) — Paper title explicitly states 'Host-gut microbiota interactions' and body sites include 'gut content; intestinal epithelium'. Library source is METAGENOMIC (community DNA), not single-organism genomic. || BODY_SITE: gut_explicit — Body site field lists 'gut content' and 'intestinal epithelium'. Biome labels include 'fish gut metagenome'. Title and abstract focus on gut-microbiota interactions. || HOST: Salmo salar [single_clear] — Host field states 'Salmo salar' (Atlantic salmon). Host species in samples lists 1 distinct species: Salmo salar. Title confirms 'farmed Atlantic salmon'. No multi-host comparative study indicated. || METHOD: mismatch — WGS/shotgun sample count is 709, but sample titles shown are all 'Feed1 pellet sample replicate X'—feed pellets are not gut samples. Body site declares 'gut content; intestinal epithelium' but displayed sample titles suggest feed material rather than actual intestinal/gut microbial samples. This indicates either incomplete sample listing or a mismatch between declared body sites and the feed samples shown. || SUMMARY: This is a genuine animal (non-human) gut microbiome study of Atlantic salmon using WGS shotgun metagenomics with clear single-host design. However, the sample titles provided (feed pellets) contradict the declared body sites (gut content, intestinal epithelium), creating uncertainty about whether gut samples or feed samples are primary, though the metadata consistently label this as a gut study.
PRJNA1417531	EXCLUDE	no	high	non_gut	unclear	none	False	mismatch	0	OTHER	GUT: no (high) — This is a bacterial strain characterization study focused on Klebsiella pneumoniae mutant properties (virulence, morphology, biofilm formation). The abstract describes laboratory characterization of a single bacterial strain, not a microbiome study. No animal host, gut samples, or metagenomics data are mentioned. The paper is about bacterial genetics/microbiology, not animal gut microbiome analysis. || BODY_SITE: non_gut — No body site information provided. The study is a pure bacterial strain characterization study with no sampling from any animal or environmental source mentioned in the abstract or metadata. || HOST: none [unclear] — No host organism is identified or sampled in this study. This is an in vitro bacterial strain study, not an animal-derived sample study. Host field is empty and no sample isolation source or body site data are provided. || METHOD: mismatch — ENA records show WGS/shotgun sample count = 0 and library_strategy_mix = 'OTHER:2' with library_source = 'OTHER' (not GENOMIC or METAGENOMIC). The paper title and abstract describe bacterial strain characterization, not shotgun metagenomics or genomics sequencing. The ENA classification does not align with a WGS metagenomics study. || SUMMARY: This is a bacterial pathogen characterization study, not an animal gut microbiome study. It describes laboratory work on a Klebsiella pneumoniae mutant strain and contains no metagenomics, no animal host, and no gut samples. The project should not be in a gut microbiome catalog.
